"ID Riesgo - prefix","ID Riesgo - number","ID Riesgo","ID Site - prefix","ID Site - number","ID Site",Estado,Autor,"Ultimo cambio","Fecha de CreaciÃ³n",Priorizado,"Fecha SoluciÃ³n Riesgo","Motivo del Riesgo","Criticidad del Riesgo","Fecha Necesidad","Impacto del Punto","Gravedad del Riesgo",Descripcion,"ID Legacy"
RM,483,RM-483,SPA-IB,371,SPA-IB00371,Abierto,"Delgado Alejandro","2023-12-05 15:40:56",2022-11-20,Si,,,"criticidad muy alta < 3 meses",2023-10-20,,1,"La propiedad nos comunica su intenciÃ³n de no renovar el contrato a su vencimiento. En su carta indican 30/09/2023 pero por contrato es el 20/10/2023 porque se firmÃ³ el 20/10/1998.",229100
RM,1501,RM-1501,SPA-IB,14,SPA-IB00014,Cerrado,"Delgado Alejandro","2023-12-05 15:42:52",2018-10-26,,2023-01-28,,"criticidad muy alta < 3 meses",2022-02-08,,,"W04 2022: se  firmÃ³ una ampliaciÃ³n de vigencia, que vence el 8 de febrero 2022. La propiedad cobrÃ³ por anticipado, es decir, el 8 de Febrero deberÃ­amos estar fuera y no va a ser asÃ­.

Hemos llegado a un acuerdo con el propietario en renovar mes a mes, hasta que podamos desmontar. La renta estÃ¡ pactada tambiÃ©n y autorizada.",48336
RM,860,RM-860,SPA-SE,24,SPA-SE00024,Abierto,"Delgado Alejandro","2023-12-05 15:24:31",2023-04-04,Si,,,"criticidad muy alta < 3 meses",2023-10-15,,1,"Se recibe burofax en tiempo y forma para rescindir",232038
RM,1431,RM-1431,SPA-CX,1770,SPA-CX01770,Cerrado,"Delgado Alejandro","2023-12-05 15:42:59",2018-10-26,,2020-01-21,,"criticidad baja > 9 meses",2020-07-08,,,,48202
RM,1707,RM-1707,SPA-SE,1309,SPA-SE01309,Cerrado,"Delgado Alejandro","2023-12-05 15:08:05",2018-10-26,,2018-11-15,,"criticidad alta < 6 meses",2019-05-03,,,,48220
RM,1833,RM-1833,SPA-GI,174,SPA-GI00174,Abierto,"Delgado Alejandro","2023-12-05 15:23:17",2023-07-18,,,,"criticidad muy alta < 3 meses",2023-06-20,,2,"El Ayuntamiento comunica que el contrato estÃ¡ vencido y hay que renovar",234130
RM,309,RM-309,SPA-MX,309,SPA-MX00309,Abierto,"Alexandre GOMBA","2023-12-05 15:40:10",2021-01-19,,,,"criticidad muy alta < 3 meses",2023-12-01,,1,"Se reabre el riesgo, la propiedad ha rechazado nuestra propuesta de mejora de renta consistente en abonar 50K mÃ¡s en 10 aÃ±os. Justo al lado hay un MeliÃ¡ que tiene a TME. No sabemos cÃ³mo es la relaciÃ³n actual con MeliÃ¡ y si ese candidato fuese factible.",174404
RM,697,RM-697,SPA-MX,613,SPA-MX00613,Abierto,"Delgado Alejandro","2023-12-05 15:40:12",2021-02-12,,,,"criticidad muy alta < 3 meses",2023-10-27,,3,"Recibido burofax de rescisiÃ³n con fecha de vencimiento 30/10/2023",178315
RM,1079,RM-1079,SPA-VX,129,SPA-VX00129,Cerrado,"Delgado Alejandro","2023-12-05 15:40:07",2019-11-26,,2020-04-02,,"criticidad baja > 9 meses",2021-03-24,,,"Recibido burofax de la propiedad comunicando la rescisiÃ³n con fecha 24/3/20",103284
RM,612,RM-612,SPA-MU,146,SPA-MU00146,Abierto,"Delgado Alejandro","2023-12-05 15:40:44",2023-04-25,,,,"criticidad alta < 6 meses",2024-04-28,,1,"En la Junta han decidido no renovar el contrato y no permiten realizar ninguna modificaciÃ³n bloqueando el proyecto 5G de VDF.",232543
