"ID Riesgo - prefix","ID Riesgo - number","ID Riesgo","ID Site - prefix","ID Site - number","ID Site",Estado,Autor,"Ultimo cambio","Fecha de Creación",Priorizado,"Fecha Solución Riesgo","Motivo del Riesgo","Criticidad del Riesgo","Fecha Necesidad","Impacto del Punto","Gravedad del Riesgo",Descripcion,"ID Legacy"
RM,10218,RM-10218,SPA-TX,7612,SPA-TX07612,Abierto,"Alexandre GOMBA","2024-01-17 10:47:29",2023-12-21,,,Propiedad,"criticidad alta < 6 meses",2024-06-22,,2,"Recibido burofax en tiempo y forma. No piden rescisión como tal sino renegociar",236864
RM,647,RM-647,SPA-MX,83,SPA-MX00083,Cerrado,"Delgado Alejandro","2024-01-17 10:49:14",2022-02-15,,2022-07-20,"Intervención de la Propiedad, Despliegue","criticidad alta < 6 meses",2022-11-02,,,"W06: Se incluye el punto en riesgo. Viene derivado de una RNG obligatoria por ampliación 5G de Orange.",222493
RM,1011,RM-1011,SPA-TX,7625,SPA-TX07625,Abierto,"Delgado Alejandro","2024-01-18 23:51:57",2021-01-11,Si,,"Propiedad, Otro Operador","criticidad muy alta < 3 meses",2024-03-31,,1,"El contrato vence en 2023, pero están reclamando que nos marchemos en 06/2021 por necesidad d ela empresa.
Aunque vamos a intentar disuadirlos, si hay una cosa clara y es que como muy tarde en 2023 hemos de estar fuera.

En este site ya se ha ejecutado el Jumping. 
Nos toca conseguir una alternativa y alargar/mantener la situación con la propiedad hasta que la tengamos.",172981
RM,342,RM-342,SPA-CX,2027,SPA-CX02027,Abierto,"Delgado Alejandro","2024-01-28 22:02:03",2022-02-01,,,"Otro Operador","criticidad muy alta < 3 meses",2024-04-07,,2,"W05: Se incluye el punto como riesgo de Telecom Ibérica.",222141
RM,913,RM-913,SPA-SG,9,SPA-SG00009,Abierto,"Delgado Alejandro","2024-01-17 10:49:36",2021-03-22,,,Propiedad,"criticidad muy alta < 3 meses",2023-10-23,,1,"Recibido burofax de rescisión con fecha de vencimiento 23/10/2023",184569
RM,1391,RM-1391,SPA-CA,4423,SPA-CA04423,Abierto,"Delgado Alejandro","2024-01-18 23:52:02",2019-11-26,,,Propiedad,"criticidad muy alta < 3 meses",2023-12-30,,2,"El contrato esta vencido desde 2003 y llevamos un año intentando regularizar con el Ayto, pero es complicado.
Depósito de Ubrique",103279
RM,10059,RM-10059,SPA-AX,7807,SPA-AX07807,Abierto,"Alexandre GOMBA","2024-01-28 21:55:06",2023-08-31,,,Propiedad,"criticidad muy alta < 3 meses",2024-04-01,,1,"Recibido burofax en tiempo y forma",235126
RM,306,RM-306,SPA-BX,306,SPA-BX00306,Abierto,"Alexandre GOMBA","2024-01-18 23:51:36",2023-03-20,Si,,"Propiedad, Despliegue","criticidad baja > 9 meses",2025-06-08,,3,"Reabrimos el riesgo. Están pidiendo que paralicemos despligue nuevo o que negociemos nuevo contrato. TENGO UNA ANTENA asesorando. Aunque el contrato vence en 2025 le gestionamos con criticidad alta",231707
RM,6200,RM-6200,SPA-PO,6200,SPA-PO06200,Abierto,"Alexandre GOMBA","2024-01-17 10:48:13",2023-05-10,,,"Intervención de la Propiedad","criticidad muy alta < 3 meses",2023-12-31,,1,"Reabrimos el riesgo porque hemos hablado con el técnico de la propiedad (Angel 607 57 85 00) y nos ha indicado que solicitan reubicar los equipos que actualmente están instalados en una caseta fuera del edificio a una sala acondicionada dentro del Tanatorio, con entrada independiente a la sala.",232827
RM,512,RM-512,SPA-LE,422,SPA-LE00422,Abierto,"Delgado Alejandro","2024-01-17 10:49:09",2022-03-09,,,Propiedad,"criticidad muy alta < 3 meses",2023-10-30,,1,"Se declara en riesgo al haber constituído Telecom Iberica un derecho de servidumbre personal sobre el terreno en el que está ubicado el emplazamiento y denunciar nuestro contrato que vence el 03-marzo-23.",223180
RM,406,RM-406,SPA-GR,5666,SPA-GR05666,Abierto,"Delgado Alejandro","2024-01-18 23:51:40",2023-01-08,,,Propiedad,"criticidad muy alta < 3 meses",2023-10-24,,1,"Asignamos rng obligatoria para regularizar la situación en el Estadio de Granda. Según el histórico no se llegó a un acuerdo cuando se intentó renovar por la demora en la firma del contrato entre otras situaciones. Comentaros que es un emplazamiento estratégico para Totem y queremos que se de máxima prioridad, incluso si es necesario trasladarse al emplazamiento y gestionar la negociación en persona.",229938
RM,719,RM-719,SPA-MX,2013,SPA-MX02013,Abierto,"Delgado Alejandro","2024-01-17 10:48:40",2023-03-22,,,"Propiedad, Legalización","criticidad muy alta < 3 meses",2023-12-31,,1,"El Ayuintamiento de Las Rozas pide que les facilaitemos  copia de la concesión que os habilita a disponer esa torre de comunicaciones o en su defecto será necesario que realicéis el trámite oportuno.",231766
RM,1835,RM-1835,SPA-MA,2716,SPA-MA02716,Abierto,"Delgado Alejandro","2024-01-17 10:47:57",2023-07-15,,,Propiedad,"criticidad muy alta < 3 meses",2024-01-29,,1,"Desde Atenp nos derivan esta incidencia de una propiedad que reclama renegociar las clausulas del contrato. Se niega a enviar burofax de rescisión ya que dice que es muy mayor y que lo ha notificado en numerosas ocasiones. El contrato vence el 29/01/2024 y se intentó negociar una prepayment que se canceló por rechazo de la propiedad ya que solicita que se les pague más porque llevan años sin cobrar el IPC, y además dicen que hay más de un operador en la torre. También problemas con los vecinos por tema radiaciones. De momento no pasa renego y se hace la gesgtion por el back ofifide",234088
RM,97,RM-97,SPA-BX,102,SPA-BX00102,Abierto,"Delgado Alejandro","2024-01-18 23:51:44",2022-07-11,Si,,Propiedad,"criticidad muy alta < 3 meses",2023-08-25,,3,"Repliegues: Gestion de riesgos",226608
RM,312,RM-312,SPA-CX,427,SPA-CX00427,Cerrado,"Delgado Alejandro","2024-01-17 10:48:35",2023-01-08,,2023-06-29,Propiedad,"criticidad media < 9 meses",2024-03-22,,,"Abrimos rng en este punto la propiedad indica que tiene ofertas de TI pero que quieren llegar a un acuerdo con totem, se le ofreció pre payment pero lo rechazó",229937
RM,244,RM-244,SPA-BX,6028,SPA-BX06028,Abierto,"Delgado Alejandro","2024-01-17 10:48:29",2023-01-26,,,Propiedad,"criticidad muy alta < 3 meses",2024-03-31,,2,"Desde la propiedad del BX6028 nos confirman que el contrato vence el 31 de marzo de 2023 y nos consultan si queremos continuar por 5 anualidades mas tal y como está contemplado en el contrato, “…antes de su finalización previo acuerdo de ambas partes…”",230374
RM,1005,RM-1005,SPA-TF,6002,SPA-TF06002,Abierto,"Delgado Alejandro","2024-02-05 09:49:14",2018-10-26,,,Propiedad,Apagado,2022-05-09,,1,,48215
RM,319,RM-319,SPA-CX,13,SPA-CX00013,Cerrado,"Delgado Alejandro","2024-01-17 10:49:36",2021-03-18,,2024-01-04,Propiedad,"criticidad muy alta < 3 meses",2024-02-19,,1,"W03 2022: Se reabre el riesgo. La propiedad no quiere que sigamos (vto:2024), exige que se le pague el espacio de más que se ha ido ocupando a lo largo de los años. Se le ofreció aumentar la renta a 13K (actualmente cobra 7,2K) y con un PU de 30K y aun así no accede no quiere aumentar vigencia. Por lo visto, es un punto importante en A Coruña, es un concentrador",183920
RM,371,RM-371,SPA-GC,9246,SPA-GC09246,Abierto,"Delgado Alejandro","2024-01-17 10:49:22",2021-12-22,,,"Propiedad, Legalización","criticidad muy alta < 3 meses",2023-10-18,,1,"W51: Se incluye el punto en riesgo, tenemos una denegación de licencia del site GC9246, vamos a intentar salvarla con Servicios Jurídicos pero al contar con una orden de desmontaje es mejor tenerlo fichado en repliegue.",221479
RM,250,RM-250,SPA-CA,4246,SPA-CA04246,Abierto,"Delgado Alejandro","2024-01-17 10:48:35",2023-01-08,,,Propiedad,"criticidad media < 9 meses",2024-09-23,,1,"El contrato vence el 2024. Dicen que al vencimiento del contrato no quieren renovar y además bloquean tirada de FO.",229941
RM,1296,RM-1296,SPA-AX,5554,SPA-AX05554,Cerrado,"Delgado Alejandro","2024-01-17 10:50:23",2019-01-18,,2019-02-18,Propiedad,"criticidad baja > 9 meses",2025-01-20,,,"La propiedad envía un burofax diciendo que en junta se ha aprobado renovar subiendo un 10% renta.",57174
RM,316,RM-316,SPA-CX,279,SPA-CX00279,Abierto,"Delgado Alejandro","2024-01-17 10:48:26",2023-02-11,,,"Intervención de la Propiedad, Mantenimiento","criticidad baja > 9 meses",2026-07-01,,2,"He estado revisando esta STG y por lo que he tratado con Siter, podemos desbloquear el permiso de FO. Me han comentado que además hay que hacer un refuerzo de la torre y se comentó que al ser la torre de ellos nosotros la reforzábamos con incremento de vigencia ( el contrato vence en 2026). Esto es lo que se está demorando, y estamos aun pendiente de respuesta de la propiedad. Si se quiere firmar vigencia, creo que lo correcto es pasarlo a rng.",230735
RM,1288,RM-1288,SPA-AX,5837,SPA-AX05837,Abierto,"Delgado Alejandro","2024-01-17 10:50:08",2019-07-17,,,Propiedad,"criticidad muy alta < 3 meses",2020-03-21,,2,"Recibido burofax de la propiedad (T.I)  comunicando la rescisión",86181
RM,10027,RM-10027,SPA-VA,2200,SPA-VA02200,Cerrado,"Alexandre GOMBA","2024-01-17 10:47:46",2023-09-27,,2023-11-20,Propiedad,"criticidad baja > 9 meses",2024-09-23,,,"Recibido burofax en tiempo y forma",235496
RM,838,RM-838,SPA-PO,4072,SPA-PO04072,Cerrado,"Delgado Alejandro","2024-01-18 23:51:52",2021-09-21,,2021-09-23,Acometida,"criticidad muy alta < 3 meses",2022-01-01,,,"W38: Se crea el riesgo por acometida,  El Hotel no quiere seguir facilitándonos luz, exigen que dispongamos de acometida propia.

Estamos encontrado muchas dificultades para conseguir que nos autorice la ampliación de 5G y la condiciona a  contraer el compromiso de desvincularnos de su suministro.",211358
RM,1843,RM-1843,SPA-BU,4229,SPA-BU04229,Abierto,"Jose-Francisco Ibanez-Castilla","2024-01-17 10:47:51",2023-08-22,,,Propiedad,"criticidad baja > 9 meses",2024-12-09,,1,"Después de reunión presencial que se tuvo con la propiedad nos trasladaron su intención de no seguir con la instalación bajo ningún concepto, querían que se retire la instalación al finalizar el contrato, concretamente la prórroga actual. Es decir, en 2024. De hecho se nos dijo que iban a proceder en las próximas semanas a enviar una carta certificada con acuse de recibo con tiempo suficiente para que nos busquemos otro emplazamiento. Notificando su intención de no renovarlo (y por mail a propietarios). Sin embargo, el hunter que llevaba esta asignación ha recibido una nueva llamada de este propietario que en su día rechazó la negociación y requirió la retirada de la instalación al término del contrato. Ahora pide que retomemos las conversaciones y la renegociación para el aumento de la vigencia, pero con una propuesta económica superior a la planteada inicialmente (2.000 € anuales) . Su propuesta está en alrededor de 4.000 € anuales. Actualmente están cobrando 1.809€.",234981
RM,1192,RM-1192,SPA-GC,9047,SPA-GC09047,Cerrado,"Delgado Alejandro","2024-01-17 10:48:16",2023-04-29,,2024-01-02,"Propiedad, Despliegue","criticidad baja > 9 meses",2025-05-01,,,"Propiedad conflictitiva que reclama gastos generales desmesurados y no deja comparticion con TME",232626
RM,1889,RM-1889,SPA-ZA,6906,SPA-ZA06906,Cerrado,"Jose-Francisco Ibanez-Castilla","2024-01-17 10:49:24",2021-11-29,,2022-02-03,"Propiedad, Otro Operador","criticidad alta < 6 meses",2022-06-30,,,"W48: Incluimos el punto de OSP en riesgo, tenemos que buscar una alternativa para este repliegue que tiene OSP en un emplazamiento Telxius (CYL6906).",221039
