"ID Riesgo - prefix","ID Riesgo - number","ID Riesgo","ID Site - prefix","ID Site - number","ID Site",Estado,Autor,"Ultimo cambio","Fecha de Creación",Priorizado,"Fecha Solución Riesgo","Motivo del Riesgo","Criticidad del Riesgo","Fecha Necesidad","Impacto del Punto","Gravedad del Riesgo",Descripcion,"ID Legacy"
RM,10189,RM-10189,SPA-BU,30,SPA-BU00030,Abierto,"Alexandre GOMBA","2024-01-17 10:47:24",2024-01-01,,,"Intervención de la Propiedad","criticidad muy alta < 3 meses",2024-03-12,,2,"Hay una queja de la propiedad en el site BU003C (El edificio al parecer se está deteriorando mucho y Orange tendría que plantearse mover dicho armario pues tiene mucho peso para estar ubicado donde está y puede seguir provocando daños estructurales muy importantes.)",237042
RM,1221,RM-1221,SPA-MX,439,SPA-MX00439,Abierto,"Delgado Alejandro","2024-01-17 10:48:12",2023-05-10,,,Propiedad,"criticidad baja > 9 meses",2024-12-21,,1,"QSUIEREN RENEGOCIAR CONDICIONES O DENUNCIARAN AL VENCIMIENTO",232837
RM,1073,RM-1073,SPA-VX,13,SPA-VX00013,Abierto,"Delgado Alejandro","2024-01-28 22:12:45",2021-10-21,,,"Legalización, Intervención de la Propiedad","criticidad muy alta < 3 meses",2024-04-30,,1,"W42: Se incluye el punto en riesgo. No se ha abordado nunca por su complejidad y porque requiere permisos de Propiedad. Hay que quitar los tres mástiles y meter un autosoportado de 3x3m. Al menos hemos conseguido que no se mueva caseta.",218209
RM,1370,RM-1370,SPA-BX,2722,SPA-BX02722,Abierto,"Delgado Alejandro","2024-01-17 10:49:47",2020-07-13,,,Propiedad,"criticidad muy alta < 3 meses",2020-08-07,,2,"SE INCLUYE EL RIESGO DE TELECOM IBERICA PARA BUSCAR ALTERNATIVA",147565
RM,1685,RM-1685,SPA-SE,321,SPA-SE00321,Cerrado,"Delgado Alejandro","2024-01-17 10:49:56",2020-01-30,,2020-04-24,"Intervención de la Propiedad","criticidad muy alta < 3 meses",2020-02-13,,,"Propiedad está haciendo reformas y necesita que reubiquemos la EB, incluimos en repliegue para dotar a G. propiedades de Diseño Radio y Supervisión de Obra.",115535
RM,10092,RM-10092,SPA-VA,38,SPA-VA00038,Abierto,"Alexandre GOMBA","2024-01-17 10:48:20",2023-03-29,,,Propiedad,"criticidad muy alta < 3 meses",2023-06-16,,2,"Esto no es una negociación, es una ocupación en dominio público con lo que hay que contactar con el Ayuntamiento y aclarar la situación ya que aquí se va a instalar VDF en Jumping y no podemos estar con esta incertidumbre sin tener certeza de la fecha real de vencimiento de la concesión. Es un contrato del Plan rural, por eso es tan precario. Está legalizado, y no respondieron a la escisión.",231908
RM,10001,RM-10001,SPA-CO,7615,SPA-CO07615,Cerrado,"Alexandre GOMBA","2024-01-18 23:51:27",2023-10-19,,2023-12-02,Propiedad,"criticidad muy alta < 3 meses",2023-11-01,,,"El representante de la propiedad nos comenta que quieren que se desmonte la estación, no quieren negociar absolutamente nada. No obstante, nos da un plazo para que busquemos otro emplazamiento bajo las siguientes condiciones: 

-	Si se aceptan sus condiciones en el plazo de una semana: Renta: 1.500€/mes, más el consumo
-	Si no se contesta en dicho plazo, ya verá si solicita 2.000€ o 3.000€ al mes, porque su deseo real es que se desmonte por el descontento generalizado tanto con Tótem como con Orange en su día.
-	Si no hay noticias sobre el acuerdo, el día 01/11 corta la luz. Por mucho que tengamos vigencia hasta 2025 (aunque se le ha dicho por activa y por pasiva en la negociación del prepayment, que el contrato está en precario y que con un mes se puede resolver...), al cortar la luz, de poco sirve que siga vigente hasta 2025.",235823
RM,480,RM-480,SPA-IB,17,SPA-IB00017,Abierto,"Delgado Alejandro","2024-01-17 10:48:42",2022-12-20,,,Propiedad,"criticidad baja > 9 meses",2025-02-17,,1,"W50 2022: La  propiedad solicita a anulacion del contrato por haber subarrenfdado a VDF sin su consentimiento",229676
RM,679,RM-679,SPA-MX,815,SPA-MX00815,Cerrado,"Delgado Alejandro","2024-01-17 10:49:08",2022-03-10,,2023-03-15,Propiedad,"criticidad muy alta < 3 meses",2023-04-29,,,"W10 2022: Se incluye el punto en riesgo, recibido burofax de rescisión con fecha de vencimiento 29/04/2023.",223307
RM,76,RM-76,SPA-BI,146,SPA-BI00146,Abierto,"Delgado Alejandro","2024-01-17 10:48:41",2023-01-01,,,"Otro Operador","criticidad muy alta < 3 meses",2023-04-16,,2,"Recibido burofax de rescision por parte de TI.",229839
RM,1832,RM-1832,SPA-CX,2014,SPA-CX02014,Cerrado,"Delgado Alejandro","2024-01-17 10:47:58",2023-07-14,,2023-12-27,Propiedad,"criticidad muy alta < 3 meses",2024-03-17,,,"Recibido burofax en tiempo y forma",234085
RM,9999,RM-9999,SPA-MU,6305,SPA-MU06305,Abierto,"Alexandre GOMBA","2024-01-17 10:47:41",2023-10-20,,,Propiedad,"criticidad baja > 9 meses",2026-06-17,,1,"No es viable incrementar la vigencia hasta 2031 siendo una instalación con una unidad móvil y no una infraestructura permanente viendo las condiciones que exige la propiedad. Vamos adelante con la firma del despliegue de la FO y tenemos que mirar de replegarnos en 2026 cuando venza el contrato.",235836
RM,1232,RM-1232,SPA-OR,8705,SPA-OR08705,Abierto,"Delgado Alejandro","2024-01-17 10:48:13",2023-05-10,,,"Propiedad, Despliegue","criticidad baja > 9 meses",2025-07-17,,1,"Tenemos esta RNG por ampliación y tras ofrecerle a la comunidad primero una subida del 10% y posteriormente tras la negativa un 20% a lo que nos dicen que la comunidad no va a aceptar la ampliación a no ser que la subida sea de un 30%. Vence 17/07/2025",232831
RM,194,RM-194,SPA-GC,194,SPA-GC00194,Abierto,"Alexandre GOMBA","2024-01-17 10:48:50",2022-10-21,,,"Propiedad, Despliegue","criticidad baja > 9 meses",2025-12-01,,2,"W42:Se incluye punto en riesgo. En este site, se tiene problemas de ruidos y trabajos parados porque la propiedad lleva un año quejándose; se replanteará y acordará una nueva ubicación con la propiedad..",228676
RM,10233,RM-10233,SPA-GI,8578,SPA-GI08578,Abierto,"Alexandre GOMBA","2024-01-28 22:56:45",2023-12-11,,,Propiedad,"criticidad media < 9 meses",2024-09-17,,1,"Recibido burofax en tiempo y forma en el que dejan clara su intención de rescindir",236605
RM,1360,RM-1360,SPA-BX,989,SPA-BX00989,Cerrado,"Delgado Alejandro","2024-01-17 10:50:37",2018-10-26,,2019-04-18,Legalización,"criticidad baja > 9 meses",2019-08-10,,,"Site pte  01/04/14: Afectada x Servidumbres Aeronáuticas. No se ha Presentado estudio --> La mantenemos en riesgo bajo",48394
RM,1413,RM-1413,SPA-CR,3108,SPA-CR03108,Cerrado,"Delgado Alejandro","2024-01-17 10:50:32",2018-10-26,,2018-11-15,Propiedad,"criticidad media < 9 meses",2019-07-30,,,,48466
RM,978,RM-978,SPA-TO,162,SPA-TO00162,Abierto,"Delgado Alejandro","2024-01-17 10:48:54",2022-08-09,,,"Otro Operador","criticidad muy alta < 3 meses",2023-07-29,,2,"W32: Se incluye el punto en riesgo,  cesión Telecom Ibérica.",227090
RM,130,RM-130,SPA-BX,525,SPA-BX00525,Cerrado,"Delgado Alejandro","2024-01-17 10:49:00",2022-06-10,,2023-09-08,Propiedad,"criticidad muy alta < 3 meses",2023-11-04,,,"W23 2022: Se incluye el punto en riesgo, por la situación del efificio con el bloqueo del acceso.",226082
RM,1251,RM-1251,SPA-VI,8624,SPA-VI08624,Cerrado,"Delgado Alejandro","2024-01-17 10:48:11",2023-05-11,,2023-10-26,Propiedad,"criticidad muy alta < 3 meses",2023-10-20,,,"ENVIADO BUROFAX EN TIEMPO Y FORMA",232878
RM,1108,RM-1108,SPA-ZX,34,SPA-ZX00034,Cerrado,"Delgado Alejandro","2024-01-17 10:48:50",2022-10-13,,2022-11-26,"Propiedad, Despliegue","criticidad baja > 9 meses",2033-12-22,,,"W41: Se incluye punto en riesgo; Propiedad envía burofax indicando que el sector 2 está en la propiedad del vecino y hay que reubicarlo para finalizar la rng.",228531
RM,339,RM-339,SPA-GC,22,SPA-GC00022,Abierto,"Delgado Alejandro","2024-01-28 22:03:03",2022-02-15,Si,,Propiedad,"criticidad muy alta < 3 meses",2024-04-09,,3,"W06: Se incluye el punto en riesgo para buscar alternativa más allá del 09/04/2024",222494
RM,21,RM-21,SPA-BA,114,SPA-BA00114,Cerrado,"Delgado Alejandro","2024-01-17 10:49:12",2022-02-25,,2023-10-23,"Propiedad, Despliegue","criticidad muy alta < 3 meses",2023-06-30,,2,"W08 2022: Se declara en riesgo el emplazamiento por los continuos bloqueos de acceso de la propiedad y los problemas que pone para ampliaciones porque se agarran a la literalidad del contrato original.",222830
RM,526,RM-526,SPA-JX,8508,SPA-JX08508,Abierto,"Delgado Alejandro","2024-01-17 10:49:34",2021-04-19,,,"Otro Operador","criticidad muy alta < 3 meses",2020-08-31,,2,"Se crea riego por denuncia del contrato de Telecom Ibérica en 2021.",190352
RM,10158,RM-10158,SPA-OX,8110,SPA-OX08110,Abierto,"Alexandre GOMBA","2024-01-17 10:47:35",2023-12-02,,,"Intervención de la Propiedad","criticidad muy alta < 3 meses",2024-02-26,,1,"Nos comunican derecho preferente de compra de una nave industrial por un importe de 160k€. No es una torre en la parcela no ubicada por la nave sino un mástil adosado y que ocupa espacio en la nave. Abrimos renego aunque vence en 2030",236447
RM,1630,RM-1630,SPA-MX,7373,SPA-MX07373,Cerrado,"Delgado Alejandro","2024-01-17 10:50:35",2018-10-26,,2018-12-20,Legalización,"criticidad muy alta < 3 meses",2019-01-02,,,,48420
RM,183,RM-183,SPA-BX,1522,SPA-BX01522,Abierto,"Delgado Alejandro","2024-01-18 23:51:36",2023-03-26,Si,,Propiedad,"criticidad muy alta < 3 meses",2023-11-07,,2,"La propiedad denuncia en forma y plazo",231830
RM,1095,RM-1095,SPA-VX,922,SPA-VX00922,Abierto,"Delgado Alejandro","2024-01-18 23:51:41",2022-12-20,,,Acometida,"criticidad muy alta < 3 meses",2023-05-19,,2,"W50 2022: Se delclara el punto en riesgo porque tenenos que conseguir acomeTida propia o el organismo pulbico nos cortara suministro.
Hemos solicitado a Roberto Mañanas que se pida suministro propio.. Caso que lo denieguen tenemos que aportarlo a la la Presidencia de la Confederación Hidrográfica del Júcar para que reclamen a IBERDROLA",229678
RM,1316,RM-1316,SPA-BA,358,SPA-BA00358,Cerrado,"Delgado Alejandro","2024-01-17 10:50:46",2018-10-26,,2023-10-09,Propiedad,"criticidad muy alta < 3 meses",2023-05-01,,,"Emplazamiento municipal en el mismo terreno donde está ubicado TME y el Ayto se niega a negociar. OSP está dando servicio sharing a VDF.",48300
RM,1105,RM-1105,SPA-VX,946,SPA-VX00946,Cerrado,"Delgado Alejandro","2024-01-17 10:49:55",2020-02-03,,2022-11-25,Propiedad,"criticidad muy alta < 3 meses",2022-06-30,,,"La Propiedad envía burofax de rescisión con fecha vencimiento 16/04/2020",117111
RM,1545,RM-1545,SPA-LU,8185,SPA-LU08185,Cerrado,"Delgado Alejandro","2024-01-17 10:50:11",2019-06-17,,2020-01-14,Legalización,"criticidad media < 9 meses",2020-02-21,,,"Repliegues: Gestion de riesgos",81419
RM,1369,RM-1369,SPA-CA,4253,SPA-CA04253,Abierto,"Delgado Alejandro","2024-01-28 23:12:36",2023-06-29,,,Propiedad,"criticidad alta < 6 meses",2024-05-05,,1,"No hay budrofax pero hay quejas de ruidos que hacen posible que corten el suninistro. Vence en 2027 pero la criticidad es alta",233813
RM,10110,RM-10110,SPA-AX,196,SPA-AX00196,Abierto,"Alexandre GOMBA","2024-01-18 23:51:27",2023-10-26,,,"Intervención de la Propiedad","criticidad muy alta < 3 meses",2023-12-31,,2,"Es necesario proceder al cambio urgente de ubicación de la antena que tenemos sobre The Outlet Store Alicante.

Para no dejar sin servicio la antena en ningún momento necesitamos que el trabajo se haga en dos fases: 
-  Fase 1:  re-colocar el cableado por el perímetro de la cubierta (línea naranja)  entiendo que esto lo podéis abordar directamente desde Operaciones.
-  Fase 2: cuando la impermeabilización de la zona amarilla esté ejecutada, realizar el cambio de la antena  para esto deberemos enviar a la SF y elaborar el CAP con la nueva ubicación para proceder a su ejecución.",235895
RM,10250,RM-10250,SPA-IB,206,SPA-IB00206,Abierto,"Aureliano Beltran Martin","2024-01-26 08:59:39",2024-01-26,No,,Propiedad,"criticidad media < 9 meses",2024-09-30,,2,"Conflicto entre la CCPP y un titular (Sr. Waller). El Sr. Waller ha presentado una demanda contra la Comunidad de Propietarios exigiendo la retirada de las antenas instaladas en las que él considera su propiedad. El pleito tendrá lugar el 11 de abril de 2024.  Anteriormente se le ha pedido amistosamente a la comunidad la retirada de las antenas, la rescisión de los contratos o que busquen otro sitio para ubicar las antenas. De momento no ha ocurrido, ni quiere la comunidad  … según lo comentado por la abogada.  Si el Sr. Waller gana, las antenas se tendrán que ir fuera!  El Sr. Waller propone reubicar las antenas en un espacio de la zona comunitaria. La comunidad tiene un total de 300.000 m2. La CCPP no ha denunciado la vigencia del contrato con TOTEM. El riesgo viene por lo que pueda ocurrir en el procedimiento judicial.",
RM,1101,RM-1101,SPA-VX,1029,SPA-VX01029,Abierto,"Delgado Alejandro","2024-01-18 23:51:57",2021-02-01,,,"Legalización, Despliegue","criticidad baja > 9 meses",2028-10-14,,1,"Queremos instalar el 5G, pero antes tenemos pendiente la adecuación a normativa pero el proyecto presentado hace tiempo no cumple con la normativa actual ni es posible por PRL realizar el despliegue del 5G.
Conclusión, es necesario redefinir desde cero el diseño para cumplir normativa y poder desplegar el 5G y cualquier otra cosa que se requiera.",176879
RM,1846,RM-1846,SPA-TO,228,SPA-TO00228,Abierto,"Jose-Francisco Ibanez-Castilla","2024-01-17 10:47:52",2023-08-14,,,"Propiedad, Otro Operador","criticidad media < 9 meses",2024-09-20,,2,"W32: Se incluye el punto en riesgo,  cesión Telecom Ibérica.. Adenas la propiedad y no TI solicitan negociar",234867
RM,10187,RM-10187,SPA-SX,107,SPA-SX00107,Abierto,"Alexandre GOMBA","2024-01-17 10:47:24",2024-01-01,,,Legalización,"criticidad alta < 6 meses",2024-05-14,,1,"Está en adecuaciones ya que se hizo una modificación previa sin legalizar el incremento, y el Ayto. nos indica que incumple normativa",237045
RM,1338,RM-1338,SPA-BX,958,SPA-BX00958,Cerrado,"Delgado Alejandro","2024-01-17 10:50:20",2019-03-07,,2023-01-09,Propiedad,"criticidad muy alta < 3 meses",2020-04-20,,,"Recibido burofax de la propiedad, no quieren seguir, están cansados después de 20 años, no es un tema económico, no quieren la antena. vcto 20/10/19",65986
RM,581,RM-581,SPA-TO,581,SPA-TO00581,Cerrado,"Alexandre GOMBA","2024-01-17 10:49:38",2021-02-24,,2022-05-10,Acometida,"criticidad baja > 9 meses",2024-04-19,,,"Finalmente, tras cancelar el job 112829, se vuelve a dar de alta el riesgo para poder realizar la acometida propia en el emplazamiento.",179411
RM,1883,RM-1883,SPA-MX,2222,SPA-MX02222,Abierto,"Jose-Francisco Ibanez-Castilla","2024-01-28 22:30:34",2023-07-24,Si,,Propiedad,"criticidad alta < 6 meses",2024-07-31,,1,"La propiedad envía burofax en tiempo y forma y nos transmite que quiere renovar solamente por un año.
No quiere prorrogas, no porque nos quieran echar, sino porque quieren vender el edificio y no lo consideran un activo que aporte atractivo al edificio.",234195
RM,133,RM-133,SPA-BX,352,SPA-BX00352,Cerrado,"Delgado Alejandro","2024-01-17 10:49:02",2022-05-23,,2023-03-28,Propiedad,"criticidad alta < 6 meses",2023-06-01,,,"W21 2022: se incluye el punto en riesgo con vencimiento 01/06/2023. La propiedad cobra 21k € y pide un incremento por escisión y estamos perdiendo dinero con la renta actual.",225675
RM,575,RM-575,SPA-MA,2589,SPA-MA02589,Cerrado,"Delgado Alejandro","2024-01-18 23:51:52",2021-09-20,,2022-03-14,Acometida,"criticidad muy alta < 3 meses",2021-10-14,,,"W38: Se activa el siguiente riesgo: Tenemos que construir acometida propia urgentemente. Nos dan de plazo para hacerla hasta 14/10. No nos va a dar tiempo.

Hablamos con la propiedad para que nos den tiempo hasta que esté construida.",211140
RM,1691,RM-1691,SPA-SE,1161,SPA-SE01161,Cerrado,"Delgado Alejandro","2024-01-17 10:50:02",2019-11-15,,2021-11-22,"Propiedad, Legalización","criticidad alta < 6 meses",2020-09-30,,,"Se necesita realizar la obra de adecuación legal, en espera de decisión de TELXIUS y VDF",101437
RM,1567,RM-1567,SPA-MA,2806,SPA-MA02806,Abierto,"Delgado Alejandro","2024-01-17 10:50:49",2018-10-26,,,Propiedad,"criticidad muy alta < 3 meses",2022-12-01,,2,"Nos trasladan extraoficialmente que este asunto ya lleva años tratándose y que actualmente no cumple normativa. Hay un expediente de disciplina urbanística abierto, por lo que nos instan a tratarlo con el negociado de disciplina. Asunto complejo dentro del Ayuntamiento de Mijas.",48241
RM,808,RM-808,SPA-OX,217,SPA-OX00217,Abierto,"Delgado Alejandro","2024-01-18 23:51:46",2022-03-07,,,Propiedad,"criticidad baja > 9 meses",2032-05-17,,2,"W10 2022:  Se incluye el punto en riesgo tras la propuesta de ampliación. La semana pasada hubo una reunión para tratar las condiciones de la propuesta para retirar la caseta de la azotea y trasladar los equipos a un local de la comunidad en la planta baja al objeto de cumplir la ordenanza de Oviedo 

Finalmente y a falta de ratificar el acuerdo final en nueva junta parece que si autorizaran siempre que se les compense por la nueva ocupación en el local del bajo ya que tenían proyecto de para realizar trasteros para los vecinos.",223137
RM,10056,RM-10056,SPA-SE,367,SPA-SE00367,Abierto,"Alexandre GOMBA","2024-01-17 10:47:50",2023-09-07,,,Propiedad,"criticidad alta < 6 meses",2024-06-24,,1,"Recibido burofax en tiempo y forma",235219
RM,1490,RM-1490,SPA-IB,198,SPA-IB00198,Abierto,"Delgado Alejandro","2024-01-17 10:49:46",2020-09-03,,,Propiedad,"criticidad baja > 9 meses",2025-09-18,,3,"Recibido burofax con fecha de vencimiento 18/09/2025, nos han denunciado fuera de plazo y estamos pendientes de ver sus pretensiones.",153627
RM,1634,RM-1634,SPA-NA,14,SPA-NA00014,Cerrado,"Delgado Alejandro","2024-01-17 10:50:13",2019-05-23,,2022-04-01,"Intervención de la Propiedad","criticidad muy alta < 3 meses",2019-06-30,,,"Van a remodelar el campo y posiblemente afecte a las antenas",76903
RM,10191,RM-10191,SPA-CS,36,SPA-CS00036,Abierto,"Alexandre GOMBA","2024-01-17 10:47:25",2024-01-01,,,"Otro Operador","criticidad muy alta < 3 meses",2023-10-01,,2,"En este contrato, que no tiene previstas prórrogas, la propiedad cedió los derechos de crédito a On Tower. Lo cierto es que estamos en precario desde el 1-oct. 2023",237039
RM,1270,RM-1270,SPA-AV,8452,SPA-AV08452,Abierto,"Delgado Alejandro","2024-01-18 23:52:02",2019-09-26,Si,,Propiedad,"criticidad muy alta < 3 meses",2022-12-16,,3,"Repliegues: Gestion de riesgos",94774
RM,1840,RM-1840,SPA-SE,1004,SPA-SE01004,Abierto,"Delgado Alejandro","2024-01-17 10:47:57",2023-07-15,,,Propiedad,"criticidad muy alta < 3 meses",2024-02-10,,1,"Recibido burofax en tiempo y forma",234087
RM,1125,RM-1125,SPA-ZA,6978,SPA-ZA06978,Cerrado,"Delgado Alejandro","2024-01-17 10:48:58",2022-06-29,,2023-02-01,Propiedad,Replegado,2025-07-11,,,"W26 Se incluye punto en riesgo; emplazamiento siniestrado por el incendio de Sierra Culebra en Zamora.",226395
RM,1483,RM-1483,SPA-GU,9329,SPA-GU09329,Cerrado,"Delgado Alejandro","2024-01-17 10:50:21",2019-03-04,,2021-10-21,"Otro Operador","criticidad alta < 6 meses",2021-04-30,,,"Comunicado repliegue por desmantelamiento de Central por UF",64182
RM,163,RM-163,SPA-BX,589,SPA-BX00589,Abierto,"Delgado Alejandro","2024-01-17 10:48:28",2023-02-03,Si,,Propiedad,"criticidad muy alta < 3 meses",2023-12-31,,1,"Se reabre el riesgo por haber recibido burofax de resision en tiempo y forma",230584
RM,10041,RM-10041,SPA-VX,1185,SPA-VX01185,Cerrado,"Alexandre GOMBA","2024-01-18 23:51:28",2023-09-24,,2024-01-04,Propiedad,"criticidad muy alta < 3 meses",2024-03-08,,1,"Recibido burofax en tiempo y forma",235442
RM,1179,RM-1179,SPA-CX,27,SPA-CX00027,Abierto,"Delgado Alejandro","2024-01-28 22:18:32",2023-06-05,,,Legalización,"criticidad alta < 6 meses",2024-07-29,,1,"en este caso tenemos un informe que adjunto, y se replanteará con el tenant, pero en el informe se aprecia que se va a ocupar más espacio, así que seguramente se necesite gestión con la propiedad. Por lo que veo en sol vence en julio del 24. Por favor, id sondeando a la propiedad. Si no renueva no merece la pena la obra.",233293
RM,10045,RM-10045,SPA-CX,910,SPA-CX00910,Abierto,"Alexandre GOMBA","2024-01-17 10:47:48",2023-09-23,,,"Otro Operador","criticidad muy alta < 3 meses",2024-03-30,,2,"Creamos el riego por que ha denunciado el contrato en timpo y forma. Tiene cesión de crédito a TI",235438
RM,62,RM-62,SPA-BI,801,SPA-BI00801,Cerrado,"Delgado Alejandro","2024-01-17 10:48:53",2022-09-02,,2022-09-21,"Otro Operador, Despliegue","criticidad media < 9 meses",2022-03-01,,,"W35:Se incluye punto en riesgo. Iberdrola solicita la reubicación de equipos.",227616
RM,1731,RM-1731,SPA-SX,3106,SPA-SX03106,Cerrado,"Delgado Alejandro","2024-01-17 10:50:56",2018-10-01,,2022-06-16,Propiedad,"criticidad muy alta < 3 meses",2022-04-01,,,"Contrato con Ayuntamiento que vence el 01/04/2022 y han comunicado que no quieren renovar por notificación de diciembre 2017.",44436
RM,1487,RM-1487,SPA-HX,9705,SPA-HX09705,Cerrado,"Delgado Alejandro","2024-01-17 10:50:49",2018-10-26,,2018-11-29,Propiedad,"criticidad baja > 9 meses",2019-10-18,,,,48258
RM,1269,RM-1269,SPA-AV,8415,SPA-AV08415,Cerrado,"Delgado Alejandro","2024-01-17 10:49:52",2020-03-09,,2021-04-15,Propiedad,"criticidad baja > 9 meses",2032-02-28,,,"2020 W11: RNG con riesgo de apagado inminente. Es un cruzado con Vodafone: Suingo está metido en la negociación, con las siguientes exigencias: 35K de atrasos, GG de 8K (+5.5) y renta de 15K (+3.7K)… y si aceptamos esto, entonces entremos a negociar para meter a VDF.",121707
RM,80,RM-80,SPA-GI,80,SPA-GI00080,Cerrado,"Alexandre GOMBA","2024-01-18 23:51:57",2021-01-05,,2023-01-11,"Propiedad, Legalización","criticidad muy alta < 3 meses",2022-07-31,,,"Recibimos por valija, incoación de ejecución subsidiaria, de expediente de restauración de la legalidad, o, sea, que nos desmontan ellos por su cuenta.
 La Notificación es de 28-11-20, recibida en Pozuelo, así que ya llegamos tarde a Reposición aunque indica que no cabe recurso alguno; y no sé por qué motivo no ha aparecido en la herramienta GIO de cartería.                Nosotros no tenemos equipos, que fueron desmontados este mes, pero permanecen unas antenas, porque imagino que sigue instalado VDF que nos dará cobertura y   a quien deberíamos avisar
Es un Hotel que estuvo en riesgo por propiedad y finalmente se canceló.",172882
RM,1652,RM-1652,SPA-OX,8888,SPA-OX08888,Cerrado,"Delgado Alejandro","2024-01-17 10:50:26",2019-10-15,,2023-10-23,Acometida,"criticidad muy alta < 3 meses",2021-01-15,,,"Repliegues: Gestion de riesgos",96725
RM,607,RM-607,SPA-MU,53,SPA-MU00053,Cerrado,"Delgado Alejandro","2024-01-18 23:51:49",2023-01-23,,2024-01-04,Legalización,"criticidad media < 9 meses",2024-08-23,,2,"Aquí tenemos la legalización parada a la espera de confirmar si acometemos la adecuación o no. No cumplimos con normativa y tenemos antenas en fachada. Tendríamos que hacer una reconfiguración completa y lo hemos estudiado desde nuestro equipo, con un coste estimado de unos 40K….
En esos momentos es un site con LO denegada. Está en precario pero no presenta peligro de cese de actividad ni sancionador.",230288
RM,1525,RM-1525,SPA-IB,456,SPA-IB00456,Cerrado,"Delgado Alejandro","2024-01-17 10:50:44",2018-10-26,,2020-01-23,Acometida,"criticidad muy alta < 3 meses",2019-09-30,,,,48322
RM,690,RM-690,SPA-MX,562,SPA-MX00562,Abierto,"Delgado Alejandro","2024-01-18 23:51:50",2021-12-13,Si,,Propiedad,"criticidad muy alta < 3 meses",2023-12-10,,2,"W50: Incluimos el punto el riesgo con vencimiento 10/12/2023.",221259
RM,10125,RM-10125,SPA-CX,1731,SPA-CX01731,Abierto,"Alexandre GOMBA","2024-01-17 10:47:41",2023-10-25,,,"Otro Operador","criticidad muy alta < 3 meses",2024-03-05,,2,"Este punto fue adquirido por Telecom Ibérica a través de una compraventa. Actualmente, estamos pagando a la propiedad 1.500€ anuales. Telecom se ha descolgado con un precio de 3.500€/año a partir del vencimiento de nuestro contrato actual en marzo del 24.",235883
RM,478,RM-478,SPA-IB,15,SPA-IB00015,Abierto,"Delgado Alejandro","2024-01-17 10:48:26",2023-02-10,,,"Intervención de la Propiedad","criticidad muy alta < 3 meses",2023-02-28,,2,"Estamos planificando el movimiento definitivo de los radioenlaces por lo que la estación caerá una semana. Llevamos avisando mucho tiempo y en reiteradas ocasiones y la fecha del movimiento esa planificada para el 13 de este mes, el próximo lunes.",230734
RM,444,RM-444,SPA-GU,9246,SPA-GU09246,Cerrado,"Delgado Alejandro","2024-01-17 10:49:21",2022-12-09,,2023-12-22,Legalización,"criticidad muy alta < 3 meses",2023-07-15,,,"W48: Podemos retomarlo como adecuación a normativa, le he pasado a Tower la propuesta que en su momento hizo OSP para  salvar el punto, y que Tower hable con el técnico del Ayto. para ver qué opina de la solución. Vamos a legalizar la instalación incluyendo la sala de equipos que está fuera de ordenacion",229429
RM,10212,RM-10212,SPA-AX,5838,SPA-AX05838,Abierto,"Alexandre GOMBA","2024-01-17 10:47:28",2023-12-21,,,Propiedad,"criticidad baja > 9 meses",2025-05-11,,2,"Se puede abrir negociación con la propiedad pero teniendo claro que las condiciones que se puedan pactar deberán aplicar a partir del vencimiento en mayo-25.",236881
RM,1404,RM-1404,SPA-CS,47,SPA-CS00047,Cerrado,"Delgado Alejandro","2024-01-17 10:50:16",2019-04-23,,2019-09-09,Propiedad,"criticidad alta < 6 meses",2019-09-17,,,"Recibido burofax de la propiedad comunicando la rescisión con fecha 17/9/19",73248
RM,137,RM-137,SPA-BX,638,SPA-BX00638,Abierto,"Delgado Alejandro","2024-01-17 10:49:12",2022-02-28,,,"Propiedad, Otro Operador","criticidad baja > 9 meses",2025-01-31,,2,"Emplazamiento en SOL Meliá vendido a Cellnex. Se declara en riesgo para ver las posibilidad de encontrar una alternativa y replegarse.",222920
RM,1477,RM-1477,SPA-GR,5833,SPA-GR05833,Cerrado,"Delgado Alejandro","2024-01-17 10:50:48",2018-10-26,,2019-02-12,Propiedad,"criticidad baja > 9 meses",2024-08-31,,,,48264
RM,479,RM-479,SPA-IB,339,SPA-IB00339,Abierto,"Delgado Alejandro","2024-01-18 23:51:35",2023-03-30,Si,,Propiedad,"criticidad muy alta < 3 meses",2024-01-11,,2,"Recibido burofax en tiempo y forma",231945
RM,520,RM-520,SPA-JX,8513,SPA-JX08513,Abierto,"Delgado Alejandro","2024-01-17 10:49:17",2022-01-31,,,Propiedad,"criticidad baja > 9 meses",2025-07-12,,1,"W05: Recibido burofax de rescisión con fecha de vencimiento 12/07/2025.",222116
RM,8522,RM-8522,SPA-GI,8522,SPA-GI08522,Cerrado,"Alexandre GOMBA","2024-01-17 10:49:29",2021-08-30,,2023-12-18,Propiedad,"criticidad muy alta < 3 meses",2022-08-07,,1,"W35: Recibido burofax de rescisión con fecha de vencimiento 07/02/2022. La propiedad reclamó un incremento de 12K para ampliar espacio para las RRU’s de VDF y ya estamos pagando 21K de renta + 8K de GG.",209299
RM,340,RM-340,SPA-CX,1711,SPA-CX01711,Abierto,"Delgado Alejandro","2024-01-17 10:48:41",2023-01-14,,,"Otro Operador","criticidad muy alta < 3 meses",2024-03-07,,2,"Creamos el riego por que ha denunciado el contrato en timpo y forma. Tiene cesión de crédito a TI",230066
