"ID de la condición del beneficiario - prefix","ID de la condición del beneficiario - number","ID de la condición del beneficiario","Id Partes Relacionadas - prefix","Id Partes Relacionadas - number","Id Partes Relacionadas","Id Arrendamiento - prefix","Id Arrendamiento - number","Id Arrendamiento",Estado,Autor,"Ultimo cambio","Fecha de Creación","Fecha de Baja",Exención/Retención,"Renta Anual del Beneficiario",Autofacturación
Cond,22095,Cond-22095,RP,7183,RP-07183,L,9669,L-09669,Activo,"Delgado Alejandro","2023-10-20 17:19:50",2023-05-03,,No,,Si
Cond,23122,Cond-23122,RP,7875,RP-07875,L,10685,L-10685,Activo,"Delgado Alejandro","2023-10-20 17:21:41",2023-05-03,,No,,Si
Cond,15582,Cond-15582,RP,2516,RP-02516,L,3451,L-03451,Activo,"Delgado Alejandro","2023-10-20 17:07:58",2023-05-03,,Si,,Si
Cond,27816,Cond-27816,RP,2818,RP-02818,L,16899,L-16899,Activo,"Alexandre GOMBA","2023-10-20 16:29:08",2023-10-20,,No,,Si
Cond,27955,Cond-27955,RP,20951,RP-20951,L,4373,L-04373,Activo,"Alexandre GOMBA","2023-10-20 16:31:32",2023-10-20,,No,,Si
Cond,31974,Cond-31974,RP,23902,RP-23902,L,14086,L-14086,Activo,"Alexandre GOMBA","2024-01-10 22:30:52",2024-01-10,,No,,No
Cond,23555,Cond-23555,RP,8142,RP-08142,L,11083,L-11083,Activo,"Delgado Alejandro","2023-10-20 17:22:27",2023-05-03,,No,,Si
Cond,17893,Cond-17893,RP,4177,RP-04177,L,5621,L-05621,Activo,"Delgado Alejandro","2023-10-20 17:12:11",2023-05-03,,No,,Si
Cond,18253,Cond-18253,RP,4434,RP-04434,L,5971,L-05971,Activo,"Delgado Alejandro","2023-10-20 17:12:50",2023-05-03,,No,,Si
Cond,28578,Cond-28578,RP,5226,RP-05226,L,11726,L-11726,Activo,"Alexandre GOMBA","2023-10-20 16:42:40",2023-10-20,,No,,Si
Cond,25762,Cond-25762,,,-,L,7878,L-07878,Inactivo,"Oscar Camps Solaesa","2023-09-07 21:46:35",2023-06-16,,Si,2250.0,Si
Cond,19199,Cond-19199,RP,5059,RP-05059,L,6892,L-06892,Activo,"Delgado Alejandro","2023-10-20 17:14:23",2023-05-03,,No,,Si
Cond,16682,Cond-16682,RP,3229,RP-03229,L,4503,L-04503,Activo,"Delgado Alejandro","2023-10-20 17:09:49",2023-05-03,,Si,,Si
Cond,26322,Cond-26322,,,-,L,10865,L-10865,Inactivo,"Oscar Camps Solaesa","2023-09-07 21:47:52",2023-06-16,,No,5700.0,Si
Cond,15680,Cond-15680,RP,2592,RP-02592,L,3544,L-03544,Activo,"Delgado Alejandro","2023-10-20 17:08:11",2023-05-03,,No,,No
Cond,25472,Cond-25472,,,-,L,6261,L-06261,Inactivo,"Oscar Camps Solaesa","2023-09-07 21:45:55",2023-06-16,,Si,7500.0,No
Cond,13610,Cond-13610,RP,1166,RP-01166,L,1533,L-01533,Activo,"Delgado Alejandro","2023-10-20 17:04:27",2023-05-03,,No,,Si
Cond,15004,Cond-15004,RP,2086,RP-02086,L,2920,L-02920,Activo,"Delgado Alejandro","2023-10-20 17:06:53",2023-05-03,,Si,,No
Cond,18091,Cond-18091,RP,4320,RP-04320,L,5814,L-05814,Activo,"Delgado Alejandro","2023-10-20 17:12:33",2023-05-03,,No,,Si
Cond,31228,Cond-31228,RP,23754,RP-23754,L,13208,L-13208,Activo,"Alexandre GOMBA","2023-12-12 18:13:35",2023-12-12,,Si,,No
Cond,28040,Cond-28040,RP,3438,RP-03438,L,16735,L-16735,Activo,"Alexandre GOMBA","2023-10-20 16:33:00",2023-10-20,,No,,No
Cond,15844,Cond-15844,RP,2693,RP-02693,L,3693,L-03693,Activo,"Delgado Alejandro","2023-10-20 17:08:28",2023-05-03,,No,,Si
Cond,19946,Cond-19946,RP,5543,RP-05543,L,7623,L-07623,Activo,"Delgado Alejandro","2023-10-20 17:15:37",2023-05-03,,Si,,No
Cond,17812,Cond-17812,RP,4115,RP-04115,L,5547,L-05547,Activo,"Delgado Alejandro","2023-10-20 17:12:02",2023-05-03,,,,No
Cond,17390,Cond-17390,RP,3775,RP-03775,L,5174,L-05174,Activo,"Delgado Alejandro","2023-10-20 17:11:11",2023-05-03,,No,,No
Cond,24455,Cond-24455,,,-,L,1565,L-01565,Inactivo,"Oscar Camps Solaesa","2023-09-07 21:43:34",2023-06-16,,No,5775.0,No
Cond,27292,Cond-27292,RP,1573,RP-01573,L,18943,L-18943,Activo,"Alexandre GOMBA","2023-10-20 16:19:47",2023-10-20,,Si,,Si
Cond,31002,Cond-31002,RP,21167,RP-21167,L,10202,L-10202,Activo,"Alexandre GOMBA","2023-11-16 16:18:47",2023-11-16,,No,,Si
