"WO - ID - prefix","WO - ID - number","WO - ID","ID Solicitud de Acceso - prefix","ID Solicitud de Acceso - number","ID Solicitud de Acceso","ID Site de trabajo - prefix","ID Site de trabajo - number","ID Site de trabajo","ID Site de trabajo (Descargas Baterias) - prefix","ID Site de trabajo (Descargas Baterias) - number","ID Site de trabajo (Descargas Baterias)",Solicitante,Estado,"Fecha de creaciÃ³n","Ultimo cambio",TÃ­tulo,"DescripciÃ³n del Trabajo",Tipo,"Â¿Impacto en el servicio?","Fecha de inicio del impacto del servicio","Fecha de finalizaciÃ³n del impacto del servicio","Fecha ejecuciÃ³n","Estado Cierre","ID Ocean","Fecha prÃ³xima revisiÃ³n","ID de emplazamiento - prefix","ID de emplazamiento - number","ID de emplazamiento","Trabajo completo","Trabajo realizado","Fin de trabajo (previsto)","Fin del trabajo","Inicio de obra","Inicio de obra (previsto)","Reconocimiento requerido","No empezar antes","coordenadas - Latitude - WGS 84","coordenadas - Longitude - WGS 84","coordenadas - Elevation",RazÃ³n,"Trabajo realizado","Trabajo por hacer","PrÃ³xima visita preventiva en","PrÃ³xima visita PM","Â¿Se requiere acceso al sitio?",Dominio,"Fecha de inicio prevista","Fecha de finalizaciÃ³n prevista"
WO,2032,WO-2032,,,-,,,,SPA-HU,7145,SPA-HU07145,"System Administrator",Cerrado,"2023-11-14 18:33:29","2023-11-15 12:06:16","2112300227753_HU7145-INSPECCION__OCA_-13-06-2019.PDF","2112300227753_HU7145-INSPECCION__OCA_-13-06-2019.PDF","Inspecciones (OCA)",NO,,,,,,13.06.2022,LO,2857,LO-002857,false,,,,,,false,2023-11-14,,,,,,,,,,,,
WO,1425,WO-1425,,,-,,,,SPA-CR,3221,SPA-CR03221,"Delgado Alejandro",Cerrado,,"2023-09-07 20:17:47",Otros,,"Revision (MTO)",,,,,,,,LO,1777,LO-001777,false,,,,,,false,2023-05-08,,,,,,,,,,,,
WO,2392,WO-2392,,,-,,,,SPA-CR,3205,SPA-CR03205,"System Administrator",Cerrado,"2023-11-14 18:42:06","2023-11-15 12:06:30","2112305029876_CR3205-REVISION__MTO_-11-02-2019.PDF","2112305029876_CR3205-REVISION__MTO_-11-02-2019.PDF","Revision (MTO)",NO,,,,,,,LO,1769,LO-001769,false,,,,,,false,2023-11-14,,,,,,,,,,,,
WO,1258,WO-1258,,,-,,,,SPA-MA,2638,SPA-MA02638,"Delgado Alejandro",Cerrado,"2021-10-22 17:03:00","2023-09-07 20:17:15","RevisiÃ³n MTO",,"Revision (MTO)",,,,,,,,LO,3866,LO-003866,false,,,,,,false,2023-05-08,,,,,,,,,,,,
WO,1358,WO-1358,,,-,,,,SPA-SS,5721,SPA-SS05721,"Delgado Alejandro",Cerrado,"2022-08-17 00:00:00","2023-09-07 20:17:35",Otros,,"Revision (MTO)",,,,,,,,LO,6256,LO-006256,false,,,,,,false,2023-05-08,,,,,,,,,,,,
WO,3668,WO-3668,,,-,,,,SPA-BU,4300,SPA-BU04300,"System Administrator",Cerrado,"2023-11-14 19:11:29","2023-11-15 12:16:28","1608263910264_BU4300-CON_DEFECTOS.PDF","1608263910264_BU4300-CON_DEFECTOS.PDF","Revision (MTO)",NO,,,,,,,LO,730,LO-000730,false,,,,,,false,2023-11-14,,,,,,,,,,,,
WO,3743,WO-3743,,,-,,,,SPA-AX,6310,SPA-AX06310,"System Administrator",Cerrado,"2023-11-14 19:13:18","2023-11-15 12:24:04","0316563016512_AX6310_INFORME_MANTENIMIENTO_LA_NUCIA_2022.PDF","0316563016512_AX6310_INFORME_MANTENIMIENTO_LA_NUCIA_2022.PDF","Revision (MTO)",NO,,,,,,,LO,351,LO-000351,false,,,,,,false,2023-11-14,,,,,,,,,,,,
WO,3440,WO-3440,,,-,,,,SPA-MX,1047,SPA-MX01047,"System Administrator",Cerrado,"2023-11-14 19:06:13","2023-11-15 12:18:56",011436409443_MX1047.PDF,011436409443_MX1047.PDF,"Revision (MTO)",NO,,,,,,,LO,4538,LO-004538,false,,,,,,false,2023-11-14,,,,,,,,,,,,
WO,2436,WO-2436,,,-,,,,SPA-GU,9145,SPA-GU09145,"System Administrator",Cerrado,"2023-11-14 18:43:10","2023-11-15 12:19:02","2112305327037_GU9145-REVISION__MTO_-06-03-2019.PDF","2112305327037_GU9145-REVISION__MTO_-06-03-2019.PDF","Revision (MTO)",NO,,,,,,,LO,2777,LO-002777,false,,,,,,false,2023-11-14,,,,,,,,,,,,
WO,3220,WO-3220,,,-,,,,SPA-SS,5616,SPA-SS05616,"System Administrator",Cerrado,"2023-11-14 19:01:08","2023-11-15 12:10:36","0312220921432_SS5616-REV_MTO_17-08-2022.PDF","0312220921432_SS5616-REV_MTO_17-08-2022.PDF","Revision (MTO)",NO,,,,,,,LO,6227,LO-006227,false,,,,,,false,2023-11-14,,,,,,,,,,,,
