"Id Emplazamiento - prefix","Id Emplazamiento - number","Id Emplazamiento","Id Site - prefix","Id Site - number","Id Site",Estado,Autor,"Fecha de Creación","Ultimo cambio",Nombre,"Coordinates - Latitude - WGS 84","Coordinates - Longitude - WGS 84","Coordinates - Elevation",Tags,"Referencia Catastral","Plot/Terrace azimuth","Wind zone","Plot / terrace length","Plot / terrace width","Mobile performed","Mobile username","Date of mobile report","Uso del Terreno","Clasificación del terreno","Tipología Propiedad","Tipo de Propiedad","24x7 Access","Dirección Catastral","Access Control","Tipo de Instalación","Causa Rechazo Candidato","Infrastructure type","Non-Feasibility Reason","Fiber Feasibility","Photo report raw"
LO,7063,LO-007063,SPA-VA,2221,SPA-VA02221,Activo,"Oscar Camps Solaesa",2023-05-24,"2023-11-15 15:03:21",VA2221,41.648577,-4.595226,856.0,,47045A01300001,,,,,,,,Agrícola,Rústico,"Land Agg (Telecom Ib.)",Privado,Si,"Polígono 13 Parcela 1 CANALIZ. CASTRONUEVO DE ESGUEVA (VALLADOLID)","No Restringido",Existente,,TORRE,,,
LO,2900,LO-002900,SPA-HU,7281,SPA-HU07281,Activo,"Oscar Camps Solaesa",2023-05-23,"2023-11-15 14:48:06",HU7281,42.577337,0.018494,1340.0,,22149A01600080,,,,,,,,Residencial,Urbano,"Propietario único",Privado,Si,"Polígono 9 Parcela 99, S MARIA.","No Restringido",Existente,,TORRE,,,
LO,5801,LO-005801,SPA-SE,186,SPA-SE00186,Activo,"Oscar Camps Solaesa",2023-05-24,"2023-11-15 15:08:01",SE0186,37.383899,-6.005492,8.0,,3918423TG3431N,,,,,,,,,,"Propietario único",Privado,Si,,Restringido,Existente,,AZOTEA,,,
LO,4554,LO-004554,SPA-MX,1096,SPA-MX01096,Activo,"Oscar Camps Solaesa",2023-05-23,"2023-11-15 14:39:02",MX1096,40.406088,-3.830716,726.0,,8942103VK2793S,,,,,,,,Residencial,Urbano,"AAPP Privativo",Privado,Si,"CL BADAJOZ 348(B)",Restringido,Existente,,TORRE,,,
LO,4779,LO-004779,SPA-MX,3976,SPA-MX03976,Activo,"Oscar Camps Solaesa",2023-05-23,"2023-11-15 14:40:00",MX3976,40.450676,-3.858456,735.0,,7284602VK2778S,,,,,,,,Residencial,Urbano,"Acuerdo Marco",Privado,Si,,Restringido,Existente,,TORRE,,,
LO,7410,LO-007410,SPA-VX,1019,SPA-VX01019,Activo,"Oscar Camps Solaesa",2023-05-24,"2023-11-15 14:52:30",VX1019,39.474341,-0.359954,12.0,,7128301YJ2772G,,,,,,,,Residencial,Urbano,"Comunidad Propietario",Privado,Si,,"No Restringido",Existente,,AZOTEA,,,
LO,2464,LO-002464,SPA-GC,2012,SPA-GC02012,Activo,"Oscar Camps Solaesa",2023-05-23,"2023-10-02 20:55:43",GC2012,28.957847,-13.589434,0.0,,7539003FT3073N,,,,,,,,Residencial,Urbano,"Propietario único",Privado,Si,"CL CAIDERO EL 2 ZONA INDUSTRIAL PLAYA HON",Restringido,Existente,,AZOTEA,,,
LO,4057,LO-004057,SPA-MU,85,SPA-MU00085,Activo,"Oscar Camps Solaesa",2023-05-23,"2023-11-15 14:50:01",MU0085,37.938521,-1.143687,66.0,,3208305XH6030N,,,,,,,,Residencial,Urbano,"Comunidad Propietario",Privado,Si,,"No Restringido",Existente,,AZOTEA,,,
LO,3889,LO-003889,SPA-MA,2764,SPA-MA02764,Activo,"Oscar Camps Solaesa",2023-05-23,"2023-11-15 15:07:09",MA2764,36.510093,-4.897248,31.0,,0223102UF3402S,,,,,,,,Residencial,Urbano,"Comunidad Propietario",Privado,Si,,"No Restringido",Existente,,AZOTEA,,,
LO,3019,LO-003019,SPA-IB,17,SPA-IB00017,Activo,"Oscar Camps Solaesa",2023-05-23,"2023-11-15 14:48:10",IB0017,39.512854,3.024865,122.0,,07043A00909000,,,,,,,,,,"Propietario único",Privado,,,"No Restringido",Existente,,AZOTEA,,,
LO,3286,LO-003286,SPA-JX,67,SPA-JX00067,Activo,"Oscar Camps Solaesa",2023-05-23,"2023-11-15 15:06:23",JX0067,38.128706,-3.77163,0.0,,23010A00400033,,,,,,,,Agrícola,Rústico,"Propietario único",Privado,,"Polígono 4 Parcela 33 MUELA",,Existente,,TORRE,,,
LO,2512,LO-002512,SPA-GI,6,SPA-GI00006,Activo,"Oscar Camps Solaesa",2023-05-23,"2023-11-15 14:47:11",GI0006,41.726787,2.570601,100.0,,4195301DG6149N,,,,,,,,,,"Acuerdo Marco",Privado,Si,"LG Polígono INDUSTRIAL  RIELLS I VIABREA",Restringido,Existente,,TORRE,,,
LO,4407,LO-004407,SPA-MX,478,SPA-MX00478,Activo,"Oscar Camps Solaesa",2023-05-23,"2023-11-15 14:38:21",MX0478,40.363838,-3.659853,605.0,,4084104VK4648C,,,,,,,,Residencial,Urbano,"Propietario único",Privado,No,,"No Restringido",Existente,,AZOTEA,,,
LO,2976,LO-002976,SPA-HX,9667,SPA-HX09667,Activo,"Oscar Camps Solaesa",2023-05-23,"2023-11-15 15:06:14",HX9667,37.89657,-6.567542,706.0,,21007A00100002,,,,,,,,Residencial,Urbano,"Propietario único",Privado,,"Polígono 1 Parcela 264 DEHESA. ARACENA (HUELVA)",Restringido,Existente,,TORRE,,,
LO,7164,LO-007164,SPA-VI,8710,SPA-VI08710,Activo,"Oscar Camps Solaesa",2023-05-24,"2023-11-15 15:03:46",VI8710,42.736217,-2.909615,0.0,,33900A20009000,,,,,,,,Agrícola,Rústico,"AAPP Privativo",Privado,Si,,,Existente,,,,,
LO,427,LO-000427,SPA-BA,401,SPA-BA00401,Activo,"Oscar Camps Solaesa",2023-05-23,"2023-11-15 15:04:32",BA0401,38.877239,-6.871583,212.0,,06900A18500009,,,,,,,,Residencial,Urbano,"Propietario único",Privado,,"DS DISEMINADOS Polígono 185 Parcela 9 ROSTROS SANTA AMALIA. BADAJOZ (BADAJOZ)","No Restringido",Existente,,TORRE,,,
LO,1248,LO-001248,SPA-BX,2000,SPA-BX02000,Activo,"Oscar Camps Solaesa",2023-05-23,"2023-11-15 14:45:36",BX2000,41.528038,2.02538,248.0,,,,,,,,,,Residencial,Urbano,"Propietario único",Privado,Si,,"No Restringido",Existente,,TORRE,,,
LO,5142,LO-005142,SPA-OR,9170,SPA-OR09170,Activo,"Oscar Camps Solaesa",2023-05-23,"2023-11-15 14:58:59",OR9170,42.087796,-7.602399,633.0,,24100A02600326,,,,,,,,Agrícola,Rústico,"AAPP Privativo",Privado,Si,"Polígono 73 Parcela 392 MANGA.","No Restringido",Existente,,TORRE,,,
LO,5747,LO-005747,SPA-SE,23,SPA-SE00023,Activo,"Oscar Camps Solaesa",2023-05-23,"2023-11-15 15:07:48",SE0023,37.387365,-5.96541,11.0,,41900A02009000,,,,,,,,Residencial,Urbano,"Comunidad Propietario",Privado,Si,,"No Restringido",Existente,,AZOTEA,,,
LO,6611,LO-006611,SPA-TF,6905,SPA-TF06905,Activo,"Oscar Camps Solaesa",2023-05-24,"2023-11-15 14:41:44",TF6905,28.45875,-16.255779,0.0,,7385002CS7478N,,,,,,,,Residencial,Urbano,"Propietario único",Privado,Si,,Restringido,Existente,,AZOTEA,,,
LO,2057,LO-002057,SPA-CU,8615,SPA-CU08615,Activo,"Oscar Camps Solaesa",2023-05-23,"2023-10-27 20:21:00",CU8615,40.223835,-2.755283,801.0,,16098A50900019,,,,,,,,,,"AAPP Privativo",Público,Si,"Suelo Polígono 509 Parcela 20
LA SOLEDAD. EL VALLE DE ALTOMIRA (CUENCA)","No Restringido",Existente,,TORRE,,,
LO,2414,LO-002414,SPA-GC,210,SPA-GC00210,Activo,"Oscar Camps Solaesa",2023-05-23,"2023-10-02 20:55:29",GC0210,28.116084,-15.475413,287.0,,3400801DS5130S,,,,,,,,Residencial,Urbano,"Propietario único",Privado,Si,"CL VIA 8013 6",Restringido,Existente,,AZOTEA,,,
LO,1626,LO-001626,SPA-CO,7028,SPA-CO07028,Activo,"Oscar Camps Solaesa",2023-05-23,"2024-01-10 15:40:40",CO7028,37.871754,-4.778984,91.0,,,,,,,,,,Residencial,Urbano,"Comunidad Propietario",Privado,,,"No Restringido",Existente,,AZOTEA,,,
LO,3361,LO-003361,SPA-LE,27,SPA-LE00027,Activo,"Oscar Camps Solaesa",2023-05-23,"2023-11-15 14:57:11",LE0027,42.612093,-5.595789,800.0,,7113801TN8271S,,,,,,,,Residencial,Urbano,"Propietario único",Privado,,"PL SECTOR AREA 17 20 C.C. ESPACIO LEON","No Restringido",Existente,,AZOTEA,,,
LO,4120,LO-004120,SPA-MU,377,SPA-MU00377,Caído,"Oscar Camps Solaesa",2023-05-23,"2023-10-27 20:20:09",MU0377,38.063592,-1.193211,112.0,,,,,,,,,,Residencial,Urbano,"Propietario único",,Si,,"No Restringido",Existente,,TORRE,,,
