"Id Emplazamiento - prefix","Id Emplazamiento - number","Id Emplazamiento","Id Site - prefix","Id Site - number","Id Site",Estado,Autor,"Fecha de Creación","Ultimo cambio",Nombre,"Coordinates - Latitude - WGS 84","Coordinates - Longitude - WGS 84","Coordinates - Elevation",Tags,"Referencia Catastral","Plot/Terrace azimuth","Wind zone","Plot / terrace length","Plot / terrace width","Mobile performed","Mobile username","Date of mobile report","Uso del Terreno","Clasificación del terreno","Tipología Propiedad","Tipo de Propiedad","24x7 Access","Dirección Catastral","Access Control","Tipo de Instalación","Causa Rechazo Candidato","Infrastructure type","Non-Feasibility Reason","Fiber Feasibility","Photo report raw"
LO,5130,LO-005130,SPA-OR,8985,SPA-OR08985,Activo,"Oscar Camps Solaesa",2023-05-23,"2023-11-15 14:58:56",OR8985,42.373539,-7.708071,450.0,,33053A01400069,,,,,,,,Agrícola,Rústico,"Propietario único",Privado,Si,"Polígono 100 Parcela 636 GAMARADA.","No Restringido",Existente,,TORRE,,,
LO,4531,LO-004531,SPA-MX,1028,SPA-MX01028,Activo,"Oscar Camps Solaesa",2023-05-23,"2023-11-15 14:38:55",MX1028,40.599402,-3.498248,0.0,,7946305VK5974N,,,,,,,,,,"Comunidad Propietario",Privado,Si,,Restringido,Existente,,,,,
LO,2543,LO-002543,SPA-GI,8512,SPA-GI08512,Activo,"Oscar Camps Solaesa",2023-05-23,"2023-11-15 14:47:19",GI8512,41.675659,2.790743,30.0,,2538502DG8123N,,,,,,,,Residencial,Urbano,"Comunidad Propietario",Privado,Si,"CL SALUT 1","No Restringido",Existente,,AZOTEA,,,
LO,6144,LO-006144,SPA-SO,9828,SPA-SO09828,Activo,"Oscar Camps Solaesa",2023-05-24,"2023-11-15 15:01:59",SO9828,41.683604,-2.198291,1010.0,,42034A00205166,,,,,,,,Residencial,Urbano,"AAPP Privativo",Privado,Si,"Polígono 3 Parcela 15174","No Restringido",Existente,,TORRE,,,
LO,7021,LO-007021,SPA-VA,2159,SPA-VA02159,Activo,"Oscar Camps Solaesa",2023-05-24,"2023-11-15 15:03:11",VA2159,41.231609,-4.669046,775.0,,47022A00200072,,,,,,,,Agrícola,Rústico,"Doble Titularidad",Público,Si,"Polígono 2 Parcela 72 MUP 118 PRADOS AGUADAÑA GUINDO. BOCIGAS (VALLADOLID)","No Restringido",Existente,,TORRE,,,
LO,3121,LO-003121,SPA-IB,232,SPA-IB00232,Activo,"Oscar Camps Solaesa",2023-05-23,"2023-11-15 14:48:39",IB0232,39.600767,2.616369,83.0,,7037134DD6873E,,,,,,,,Residencial,Urbano,"Comunidad Propietario",Privado,Si,,"No Restringido",Existente,,AZOTEA,,,
LO,2942,LO-002942,SPA-HX,9518,SPA-HX09518,Activo,"Oscar Camps Solaesa",2023-05-23,"2023-11-15 15:06:05",HX9518,37.254328,-6.94486,6.0,,,,,,,,,,Residencial,Urbano,"Propietario único",Privado,Si,,Restringido,Existente,,AZOTEA,,,
LO,7205,LO-007205,SPA-VI,9862,SPA-VI09862,Activo,"Oscar Camps Solaesa",2023-05-24,"2023-11-15 15:03:56",VI9862,42.848497,-2.661691,527.0,,39043A00900005,,,,,,,,Agrícola,Rústico,"Propietario único",Privado,Si,,"No Restringido",Existente,,AZOTEA,,,
LO,5199,LO-005199,SPA-OX,10,SPA-OX00010,Activo,"Oscar Camps Solaesa",2023-05-23,"2023-11-15 14:59:14",OX0000,43.541225,-5.643004,5.0,,6845501TP8264N,,,,,,,,Residencial,Urbano,"Propietario único",Privado,Si,"CR DE SOMIO 2",Restringido,Existente,,AZOTEA,,,
LO,79,LO-000079,SPA-AB,6380,SPA-AB06380,Activo,"Oscar Camps Solaesa",2023-05-23,"2023-10-02 20:53:36",AB6380,38.961558,-1.238538,857.0,,02010A03005012,,,,,,,,Agrícola,Rústico,"Propietario único",Privado,Si,"Polígono 19, Parcela 5060. ALTO DE SANTA ANA","No Restringido",Existente,,TORRE,,,
LO,286,LO-000286,SPA-AX,5410,SPA-AX05410,Activo,"Oscar Camps Solaesa",2023-05-23,"2023-11-15 14:42:51",AX5410,38.348433,-0.49776,43.0,,03900A05409000,,,,,,,,Residencial,Urbano,"Comunidad Propietario",Privado,Si,,"No Restringido",Existente,,AZOTEA,,,
LO,1781,LO-001781,SPA-CR,3238,SPA-CR03238,Activo,"Oscar Camps Solaesa",2023-05-23,"2023-10-02 20:54:10",CR3238,39.383525,-3.206203,643.0,,13005A07009000,,,,,,,,Residencial,Urbano,"Propietario único",Privado,,"AV. REGIONES, 6","No Restringido",Existente,,TORRE,,,
LO,7089,LO-007089,SPA-VA,2268,SPA-VA02268,Activo,"Oscar Camps Solaesa",2023-05-24,"2023-11-15 15:03:28",VA2268,41.894653,-5.204579,752.0,,47206A00700047,,,,,,,,Agrícola,Rústico,"Propietario único",Privado,Si,"Polígono 7 Parcela 47 PASEO. VILLAFRECHOS (VALLADOLID)","No Restringido",Existente,,TORRE,,,
LO,414,LO-000414,SPA-BA,347,SPA-BA00347,Activo,"Oscar Camps Solaesa",2023-05-23,"2023-11-15 15:04:28",BA0347,38.677436,-6.39465,352.0,,6546704QC2864N,,,,,,,,Residencial,Urbano,"Land Agg (Telecom Ib.)",Privado,Si,,"No Restringido",Existente,,TORRE,,,
LO,2432,LO-002432,SPA-GC,317,SPA-GC00317,Activo,"Oscar Camps Solaesa",2023-05-23,"2023-12-12 16:18:19",GC0317,28.112815,-15.449544,182.0,,5998102DS5069N,,,,,,,,Residencial,Urbano,"Propietario único",Privado,,"AV JUAN CARLOS I",Restringido,Existente,,AZOTEA,,,
LO,5897,LO-005897,SPA-SE,757,SPA-SE00757,Activo,"Oscar Camps Solaesa",2023-05-24,"2023-11-15 15:08:27",SE0757,37.394737,-5.992473,11.0,,41900A02009000,,,,,,,,Residencial,Urbano,"Propietario único",Privado,Si,,Restringido,Existente,,AZOTEA,,,
LO,1148,LO-001148,SPA-BX,1393,SPA-BX01393,Activo,"Oscar Camps Solaesa",2023-05-23,"2023-11-15 14:45:08",BX1393,41.435294,2.180973,0.0,,08900A01209000,,,,,,,,Residencial,Urbano,"Propietario único",Privado,Si,,Restringido,Existente,,AZOTEA,,,
LO,1004,LO-001004,SPA-BX,714,SPA-BX00714,Activo,"Oscar Camps Solaesa",2023-05-23,"2023-11-15 14:44:24",BX0714,41.365906,2.151277,89.0,,08900A01209000,,,,,,,,Residencial,Urbano,"AAPP Privativo",Privado,No,,Restringido,Existente,,AZOTEA,,,
LO,1631,LO-001631,SPA-CO,7102,SPA-CO07102,Activo,"Oscar Camps Solaesa",2023-05-23,"2023-11-15 15:05:21",CO7102,37.812197,-5.025571,172.0,,14005A01600021,,,,,,,,Residencial,Urbano,"Propietario único",Privado,Si,"DS DISEMINADOS Polígono 16 Parcela 21 PEÑA DEL AGUILA",Restringido,Existente,,TORRE,,,
LO,6165,LO-006165,SPA-SO,9902,SPA-SO09902,Activo,"Oscar Camps Solaesa",2023-05-24,"2023-11-15 15:02:04",SO9902,41.717309,-3.054732,964.0,,42300A00305082,,,,,,,,Residencial,Urbano,"Propietario único",Privado,,"Polígono 3 Parcela 1074",,Existente,,TORRE,,,
LO,7621,LO-007621,SPA-ZA,7,SPA-ZA00007,Activo,"Oscar Camps Solaesa",2023-05-24,"2023-11-15 15:03:57",ZA0007,41.509996,-5.737689,800.0,,,,,,,,,,Residencial,Urbano,"Acuerdo Marco",Privado,Si,"CL RUA FRANCOS 24",Restringido,Existente,,AZOTEA,,,
LO,1624,LO-001624,SPA-CO,7024,SPA-CO07024,Activo,"Oscar Camps Solaesa",2023-05-23,"2024-01-10 15:40:40",CO7024,37.884844,-4.787251,144.0,,,,,,,,,,Residencial,Urbano,"Land Agg (On Tower)",Privado,Si,,Restringido,Existente,,AZOTEA,,,
LO,5388,LO-005388,SPA-OX,8101,SPA-OX08101,Activo,"Oscar Camps Solaesa",2023-05-23,"2023-11-15 15:00:00",OX8101,43.468158,-5.512864,363.0,,39042A00400115,,,,,,,,Agrícola,Rústico,"Propietario único",Privado,Si,"Polígono 137 Parcela 122 FRANCES.","No Restringido",Existente,,TORRE,,,
LO,4227,LO-004227,SPA-MX,92,SPA-MX00092,Activo,"Oscar Camps Solaesa",2023-05-23,"2023-11-15 14:37:27",MX0092,40.403794,-3.674521,611.0,,2829601VK4722H,,,,,,,,Residencial,Urbano,"Comunidad Propietario",Privado,Si,,"No Restringido",Existente,,AZOTEA,,,
LO,1884,LO-001884,SPA-CS,92,SPA-CS00092,Activo,"Oscar Camps Solaesa",2023-05-23,"2023-11-15 14:46:51",CS0092,40.206419,0.032349,314.0,,12029A02200057,,,,,,,,Agrícola,Rústico,"Propietario único",Privado,Si,"PL Polígono 22 54 Polígono 22 Parcela 54 BENISIO. ","No Restringido",Existente,,TORRE,,,
LO,5814,LO-005814,SPA-SE,257,SPA-SE00257,Activo,"Oscar Camps Solaesa",2023-05-24,"2023-11-15 15:08:04",SE0257,37.386891,-5.999289,8.0,,41900A02009000,,,,,,,,Residencial,Urbano,"Comunidad Propietario",Privado,,,"No Restringido",Existente,,AZOTEA,,,
LO,8036,LO-008036,SPA-OR,9466,SPA-OR09466,Reservado,"Oscar Camps Solaesa",2023-07-25,"2023-09-29 22:36:43",OR9466,,,,,,,,,,,,,,,,,,,,Nuevo,,AZOTEA,,,
LO,7254,LO-007254,SPA-VX,74,SPA-VX00074,Activo,"Oscar Camps Solaesa",2023-05-24,"2023-11-15 14:51:51",VX0074,38.878422,-0.366427,257.0,,46221A00100278,,,,,,,,Residencial,Urbano,"AAPP Privativo",Público,Si,"PL GRAL DISEMINADOS 15 Polígono 1 Parcela 278 0009B0300YJ20F - ALTER.","No Restringido",Existente,,TORRE,,,
LO,1723,LO-001723,SPA-CR,3054,SPA-CR03054,Activo,"Oscar Camps Solaesa",2023-05-23,"2023-10-02 20:53:47",CR3054,38.775801,-4.835301,589.0,,13011A02209000,,,,,,,,,,"Comunidad Propietario",Privado,Si,,"No Restringido",Existente,,TORRE,,,
LO,4696,LO-004696,SPA-MX,3261,SPA-MX03261,Activo,"Oscar Camps Solaesa",2023-05-23,"2023-11-15 14:39:38",MX3261,40.357242,-3.703848,623.0,,0280524VK4607G,,,,,,,,Residencial,Urbano,"Propietario único",Privado,No,,Restringido,Existente,,AZOTEA,,,
LO,7147,LO-007147,SPA-VI,8614,SPA-VI08614,Activo,"Oscar Camps Solaesa",2023-05-24,"2023-11-15 15:03:43",VI8614,42.843535,-2.684179,524.0,,33036A02316558,,,,,,,,Residencial,Urbano,"Comunidad Propietario",Privado,Si,,"No Restringido",Existente,,AZOTEA,,,
LO,8636,LO-008636,SPA-SE,3500,SPA-SE03500,Reservado,"Alexandre GOMBA",2024-01-10,"2024-01-10 15:38:05",SE3500,,,,,,,,,,,,,Residencial,Urbano,,,,,,Nuevo,,,,,
LO,7185,LO-007185,SPA-VI,8804,SPA-VI08804,Caído,"Oscar Camps Solaesa",2023-05-24,"2023-10-27 20:20:29",VI8804,42.654369,-2.499933,835.0,,,,,,,,,,Residencial,Urbano,"AAPP Privativo",Público,Si,,"No Restringido",Existente,,TORRE,,,
LO,6991,LO-006991,SPA-VA,2112,SPA-VA02112,Activo,"Oscar Camps Solaesa",2023-05-24,"2023-11-15 15:03:04",VA2112,41.644503,-4.73527,693.0,,47900A01109000,,,,,,,,Residencial,Urbano,"Propietario único",Privado,Si,"PS ZORRILLA 48 47006 VALLADOLID (VALLADOLID)","No Restringido",Existente,,AZOTEA,,,
LO,1708,LO-001708,SPA-CR,3025,SPA-CR03025,Activo,"Oscar Camps Solaesa",2023-05-23,"2023-10-02 20:53:44",CR3025,39.23133,-3.776107,716.0,,13044A02400598,,,,,,,,,,"Propietario único",Privado,Si,"Polígono 24 Parcela 66. CERRO RUBIO.","No Restringido",Existente,,TORRE,,,
LO,5070,LO-005070,SPA-NA,167,SPA-NA00167,Activo,"Oscar Camps Solaesa",2023-05-23,"2023-11-15 14:58:41",NA0167,42.19992,-1.63788,309.0,,249090306A,,,,,,,,Residencial,Urbano,"AAPP Privativo",Público,Si,,"No Restringido",Existente,,TORRE,,,
LO,4579,LO-004579,SPA-MX,1697,SPA-MX01697,Activo,"Oscar Camps Solaesa",2023-05-23,"2023-11-15 14:39:08",MX1697,40.29721,-3.70295,600.0,,0312010VK4601S,,,,,,,,Residencial,Urbano,"Land Agg (Telecom Ib.)",Privado,No,,Restringido,Existente,,AZOTEA,,,
LO,5540,LO-005540,SPA-PO,6200,SPA-PO06200,Activo,"Oscar Camps Solaesa",2023-05-23,"2023-11-15 15:00:40",PO6200,42.385728,-8.696271,59.0,,5027004NG2952N,,,,,,,,Residencial,Urbano,"Propietario único",Privado,Si,,"No Restringido",Existente,,AZOTEA,,,
LO,5862,LO-005862,SPA-SE,371,SPA-SE00371,Activo,"Oscar Camps Solaesa",2023-05-24,"2023-11-15 15:08:17",SE0371,37.38673,-5.971406,15.0,,7021006TG3472S,,,,,,,,Residencial,Urbano,"Acuerdo Marco",Privado,Si,,Restringido,Existente,,AZOTEA,,,
LO,2185,LO-002185,SPA-CX,987,SPA-CX00987,Activo,"Oscar Camps Solaesa",2023-05-23,"2023-11-15 14:56:31",CX0987,42.668223,-8.875917,154.0,,15011A76309003,,,,,,,,Agrícola,Rústico,"Propietario único",Privado,Si,"Polígono 763 Parcela 261 PEON DE SANDRENZO","No Restringido",Existente,,TORRE,,,
LO,317,LO-000317,SPA-AX,5555,SPA-AX05555,Activo,"Oscar Camps Solaesa",2023-05-23,"2023-11-15 14:43:00",AX5555,38.417925,-0.445294,68.0,,03090A00909000,,,,,,,,Residencial,Urbano,"Comunidad Propietario",Privado,Si,,"No Restringido",Existente,,AZOTEA,,,
LO,5663,LO-005663,SPA-PX,8103,SPA-PX08103,Activo,"Oscar Camps Solaesa",2023-05-23,"2023-11-15 15:01:12",PX8103,42.254316,-4.89787,821.0,,34137A00300023,,,,,,,,Agrícola,Rústico,"Propietario único",Privado,Si,"Polígono 3 Parcela 23 CAMINO DEL MONTE","No Restringido",Existente,,TORRE,,,
LO,3030,LO-003030,SPA-IB,35,SPA-IB00035,Activo,"Oscar Camps Solaesa",2023-05-23,"2023-11-15 14:48:14",IB0035,39.616989,2.769721,175.0,,0254137DD8805S,,,,,,,,Agrícola,Rústico,"Propietario único",Privado,Si,"CL CONSTITUCIO, DE LA 4","No Restringido",Existente,,AZOTEA,,,
LO,4757,LO-004757,SPA-MX,3889,SPA-MX03889,Activo,"Oscar Camps Solaesa",2023-05-23,"2023-11-15 14:39:54",MX3889,40.349332,-3.528462,0.0,,5067501VK5656N,,,,,,,,Residencial,Urbano,"Propietario único",Privado,Si,,"No Restringido",Existente,,TORRE,,,
LO,1941,LO-001941,SPA-CS,338,SPA-CS00338,Activo,"Oscar Camps Solaesa",2023-05-23,"2023-11-15 14:47:05",CS0338,39.985492,-0.016889,35.0,,12900A16309000,,,,,,,,Residencial,Urbano,"Land Agg (On Tower)",Privado,,"CL JUAN PABLO II 13","No Restringido",Existente,,AZOTEA,,,
LO,7289,LO-007289,SPA-VX,130,SPA-VX00130,Activo,"Oscar Camps Solaesa",2023-05-24,"2023-11-15 14:51:58",VX0130,38.832506,-0.495498,419.0,,7413509YJ1071C,,,,,,,,Residencial,Urbano,"Propietario único",Privado,,"CL FONT FREDA 1","No Restringido",Existente,,TORRE,,,
LO,2059,LO-002059,SPA-CU,9011,SPA-CU09011,Activo,"Oscar Camps Solaesa",2023-05-23,"2023-10-27 20:21:01",CU9011,40.077968,-2.129944,0.0,,4370008WK7346G,,,,,,,,Residencial,Urbano,"Propietario único",Privado,No,"PZ MAYOR 3
16001 CUENCA (CUENCA)",Restringido,Existente,,"SC – Fachada",,,
LO,5437,LO-005437,SPA-PO,4005,SPA-PO04005,Activo,"Oscar Camps Solaesa",2023-05-23,"2023-11-15 15:00:14",PO4005,42.230388,-8.707339,91.0,,24138A02400410,,,,,,,,Residencial,Urbano,"Propietario único",Privado,Si,,,Existente,,AZOTEA,,,
LO,5926,LO-005926,SPA-SE,1038,SPA-SE01038,Activo,"Oscar Camps Solaesa",2023-05-24,"2023-11-15 15:08:34",SE1038,37.383376,-5.911292,27.0,,41900A02009000,,,,,,,,Residencial,Urbano,"Propietario único",Privado,,,Restringido,Existente,,TORRE,,,
LO,1272,LO-001272,SPA-BX,2096,SPA-BX02096,Activo,"Oscar Camps Solaesa",2023-05-23,"2023-11-15 14:45:43",BX2096,41.882143,2.288904,50.0,,08278A00109000,,,,,,,,Residencial,Urbano,"AAPP Privativo",Público,Si,"CL VIVET, EL","No Restringido",Existente,,TORRE,,,
LO,5348,LO-005348,SPA-OX,6303,SPA-OX06303,Activo,"Oscar Camps Solaesa",2023-05-23,"2023-11-15 14:59:51",OX6303,43.449891,-5.786418,263.0,,39030A00400029,,,,,,,,Agrícola,Rústico,"Propietario único",Privado,Si,"Polígono 28 Parcela 28 CORONA.","No Restringido",Existente,,TORRE,,,
LO,2955,LO-002955,SPA-HX,9615,SPA-HX09615,Activo,"Oscar Camps Solaesa",2023-05-23,"2023-11-15 15:06:09",HX9615,37.311703,-6.6022,96.0,,21060A01100004,,,,,,,,,,"Propietario único",Privado,,"DS DISEMINADOS Polígono 11 Parcela 4 PEREZUELA. ROCIANA DEL CONDADO (HUELVA)","No Restringido",Existente,,TORRE,,,
LO,5281,LO-005281,SPA-OX,1171,SPA-OX01171,Activo,"Oscar Camps Solaesa",2023-05-23,"2023-11-15 14:59:35",OX1171,43.417939,-4.759463,24.0,,7692060UP5078N,,,,,,,,Agrícola,Rústico,"Comunidad Propietario",Privado,,"LG LLANES-TIEVES 103(A) LLANES",Restringido,Existente,,TORRE,,,
LO,5504,LO-005504,SPA-PO,5432,SPA-PO05432,Activo,"Oscar Camps Solaesa",2023-05-23,"2023-11-15 15:00:31",PO5432,42.101765,-8.558754,50.0,,6516005NG3661N,,,,,,,,Residencial,Urbano,"Propietario único",Privado,No,,Restringido,Existente,,AZOTEA,,,
LO,420,LO-000420,SPA-BA,373,SPA-BA00373,Activo,"Oscar Camps Solaesa",2023-05-23,"2023-11-15 15:04:30",BA0373,38.423636,-6.412861,513.0,,06158A01109000,,,,,,,,Residencial,Urbano,"Comunidad Propietario",Privado,,,"No Restringido",Existente,,AZOTEA,,,
LO,3480,LO-003480,SPA-LE,1725,SPA-LE01725,Activo,"Oscar Camps Solaesa",2023-05-23,"2023-11-15 14:57:41",LE1725,42.271672,-5.85672,783.0,,24055A10205569,,,,,,,,Agrícola,Rústico,"Propietario único",Privado,Si,"Polígono 102 Parcela 5569 LAS ERAS.","No Restringido",Existente,,TORRE,,,
LO,7599,LO-007599,SPA-VX,5326,SPA-VX05326,Activo,"Oscar Camps Solaesa",2023-05-24,"2023-11-15 14:53:23",VX5326,38.960345,-0.172828,25.0,,5062708YJ4156S,,,,,,,,Residencial,Urbano,"Propietario único",Privado,Si,"AV ALACANT 134","No Restringido",Existente,,TORRE,,,
LO,3626,LO-003626,SPA-LU,8001,SPA-LU08001,Activo,"Oscar Camps Solaesa",2023-05-23,"2023-11-15 14:58:16",LU8001,43.177776,-7.7624,472.0,,39096A04400018,,,,,,,,Agrícola,Rústico,"Comunidad Propietario",Privado,Si,COTARON.,"No Restringido",Existente,,TORRE,,,
LO,875,LO-000875,SPA-BX,364,SPA-BX00364,Activo,"Oscar Camps Solaesa",2023-05-23,"2023-11-15 14:43:48",BX0364,41.385076,2.177013,11.0,,08900A01209000,,,,,,,,Residencial,Urbano,"Propietario único",Privado,Si,,Restringido,Existente,,AZOTEA,,,
LO,6667,LO-006667,SPA-TO,86,SPA-TO00086,Activo,"Oscar Camps Solaesa",2023-05-24,"2023-11-15 14:42:01",TO0086,39.90154,-3.340814,739.0,,45199A01300093,,,,,,,,Agrícola,Rústico,"Propietario único",Privado,Si,"Polígono 13 Parcela 93","No Restringido",Existente,,TORRE,,,
LO,5250,LO-005250,SPA-OX,306,SPA-OX00306,Activo,"Oscar Camps Solaesa",2023-05-23,"2023-11-15 14:59:27",OX0306,43.550205,-5.917367,17.0,,4662013TP6246S,,,,,,,,Residencial,Urbano,"Comunidad Propietario",Privado,Si,,"No Restringido",Existente,,AZOTEA,,,
LO,5143,LO-005143,SPA-OR,9208,SPA-OR09208,Activo,"Oscar Camps Solaesa",2023-05-23,"2023-11-15 14:58:59",OR9208,42.225571,-7.846534,522.0,,39027A05509003,,,,,,,,Agrícola,Rústico,"Propietario único",Privado,Si,"Polígono 903 Parcela 538 BESADA.","No Restringido",Existente,,TORRE,,,
LO,3982,LO-003982,SPA-MA,3386,SPA-MA03386,Activo,"Oscar Camps Solaesa",2023-05-23,"2023-11-15 15:07:32",MA3386,36.801048,-4.001373,1069.0,,29086A00201161,,,,,,,,Residencial,Urbano,"AAPP Privativo",Privado,Si,"DS DISEMINADOS 163","No Restringido",Existente,,TORRE,,,
LO,5904,LO-005904,SPA-SE,820,SPA-SE00820,Activo,"Oscar Camps Solaesa",2023-05-24,"2023-11-15 15:08:28",SE0820,37.391485,-6.002534,0.0,,4328004TG3442G,,,,,,,,Residencial,Urbano,"Acuerdo Marco",Privado,Si,"PZ LEGION LA 8 COMPL INM PZ ARMAS",Restringido,Existente,,AZOTEA,,,
LO,1750,LO-001750,SPA-CR,3095,SPA-CR03095,Activo,"Oscar Camps Solaesa",2023-05-23,"2023-10-02 20:53:56",CR3095,39.395915,-3.138512,707.0,,13028A04300017,,,,,,,,,,"Doble Titularidad",Privado,Si,"Polígono 43 Parcela 17. ALTO DE LA SERNA.","No Restringido",Existente,,TORRE,,,
LO,3344,LO-003344,SPA-JX,9220,SPA-JX09220,Activo,"Oscar Camps Solaesa",2023-05-23,"2023-11-15 15:06:38",JX9220,37.800088,-3.465264,800.0,,23001A01000078,,,,,,,,Residencial,Urbano,"Doble Titularidad",Privado,Si,"Polígono 10 Parcela 78 HUTAR","No Restringido",Existente,,TORRE,,,
LO,1718,LO-001718,SPA-CR,3045,SPA-CR03045,Activo,"Oscar Camps Solaesa",2023-05-23,"2023-10-02 20:53:46",CR3045,39.156197,-3.013373,0.0,,13082A06909000,,,,,,,,Residencial,Urbano,"Propietario único",Privado,Si,,"No Restringido",Existente,,,,,
LO,2582,LO-002582,SPA-GI,8624,SPA-GI08624,Activo,"Oscar Camps Solaesa",2023-05-23,"2023-11-15 14:47:29",GI8624,42.312529,3.013313,25.0,,1247501EG0814N,,,,,,,,Residencial,Urbano,"Propietario único",Privado,No,"CL GARRIGA",Restringido,Existente,,TORRE,,,
LO,2225,LO-002225,SPA-CX,1765,SPA-CX01765,Activo,"Oscar Camps Solaesa",2023-05-23,"2023-11-15 14:56:41",CX1765,43.649738,-8.010837,224.0,,15022A50100198,,,,,,,,Agrícola,Rústico,"Propietario único",Privado,Si,"Polígono 501 Parcela 198 TEXOURO","No Restringido",Existente,,TORRE,,,
LO,3193,LO-003193,SPA-IB,368,SPA-IB00368,Activo,"Oscar Camps Solaesa",2023-05-23,"2023-11-15 14:48:59",IB0368,39.58971,2.678214,30.0,,2422708DD7822D,,,,,,,,Residencial,Urbano,"Comunidad Propietario",Privado,Si,,"No Restringido",Existente,,AZOTEA,,,
LO,5098,LO-005098,SPA-OR,24,SPA-OR00024,Activo,"Oscar Camps Solaesa",2023-05-23,"2023-11-15 14:58:48",OR0024,42.337406,-7.871506,151.0,,32900A20809000,,,,,,,,Residencial,Urbano,"Propietario único",Privado,No,"AV PORTUGAL 57 OURENSE",Restringido,Existente,,"LOCAL TECNICO",,,
LO,7823,LO-007823,SPA-ZX,4272,SPA-ZX04272,Activo,"Oscar Camps Solaesa",2023-05-24,"2023-11-15 14:54:10",ZX4272,41.609472,-0.887845,200.0,,6286201XM7068E,,,,,,,,Residencial,Urbano,"Acuerdo Marco",Privado,Si,,,Existente,,AZOTEA,,,
LO,4669,LO-004669,SPA-MX,3014,SPA-MX03014,Caído,"Oscar Camps Solaesa",2023-05-23,"2024-01-10 15:40:46",MX3014,40.204185,-3.67736,623.0,,,,,,,,,,Residencial,Urbano,"Land Agg (On Tower)",Privado,Si,"AV ANDALUCIA 144",Restringido,Existente,,TORRE,,,
LO,3262,LO-003262,SPA-IB,668,SPA-IB00668,Activo,"Oscar Camps Solaesa",2023-05-23,"2023-11-15 14:49:17",IB0668,39.69337,2.841934,139.0,,07008A01400176,,,,,,,,Residencial,Urbano,"Propietario único",Privado,No,"Polígono 14 Parcela 176 BARRERA.",Restringido,Existente,,AZOTEA,,,
LO,2762,LO-002762,SPA-GU,9116,SPA-GU09116,Activo,"Oscar Camps Solaesa",2023-05-23,"2023-10-02 20:56:09",GU9116,40.90085,-2.757506,1055.0,,19024A50205187,,,,,,,,Residencial,Urbano,"Propietario único",Privado,Si,"DS DISEMINADO Polígono 502 Parcela 5187 PORNILLO. 19490 ALMADRONES","No Restringido",Existente,,TORRE,,,
LO,8516,LO-008516,SPA-BX,4900,SPA-BX04900,Reservado,"Alexandre GOMBA",2024-01-10,"2024-01-10 15:35:32",BX4900,,,,,,,,,,,,,,,,,,,,Nuevo,,,,,
LO,7767,LO-007767,SPA-ZX,502,SPA-ZX00502,Activo,"Oscar Camps Solaesa",2023-05-24,"2023-11-15 14:53:56",ZX0502,41.118775,0.131905,330.0,,50153A01800050,,,,,,,,Agrícola,Rústico,"AAPP Privativo",Público,Si,"ED DISEMINADOS Suelo Polígono 18 Parcela 83 CALVARIO.","No Restringido",Existente,,TORRE,,,
LO,4238,LO-004238,SPA-MX,110,SPA-MX00110,Activo,"Oscar Camps Solaesa",2023-05-23,"2023-11-15 14:37:30",MX0110,40.472737,-3.663144,733.0,,3807008VK4830F,,,,,,,,Residencial,Urbano,"Acuerdo Marco",Privado,Si,,Restringido,Existente,,TORRE,,,
LO,5477,LO-005477,SPA-PO,4107,SPA-PO04107,Activo,"Oscar Camps Solaesa",2023-05-23,"2023-11-15 15:00:24",PO4107,42.24014,-8.725804,10.0,,54057A03709000,,,,,,,,Residencial,Urbano,"Comunidad Propietario",Privado,Si,,"No Restringido",Existente,,AZOTEA,,,
LO,7839,LO-007839,SPA-HX,9846,SPA-HX09846,Activo,"Delgado Alejandro",2023-07-21,"2023-12-12 16:18:25",HX9846,37.264556,-6.512286,79.0,,,,,,,,,,Residencial,Urbano,"Propietario único",Privado,,,"No Restringido",Existente,,AZOTEA,,,
LO,5027,LO-005027,SPA-NA,31,SPA-NA00031,Activo,"Oscar Camps Solaesa",2023-05-23,"2023-11-15 14:58:30",NA0031,42.759114,-1.624085,300.0,,088020581A,,,,,,,,Residencial,Urbano,"Propietario único",Privado,Si,,"No Restringido",Existente,,TORRE,,,
LO,3772,LO-003772,SPA-MA,442,SPA-MA00442,Activo,"Oscar Camps Solaesa",2023-05-23,"2023-11-15 15:06:39",MA0442,36.708989,-4.460541,30.0,,9637101UF6693N,,,,,,,,Residencial,Urbano,"Acuerdo Marco",Privado,Si,,Restringido,Existente,,AZOTEA,,,
LO,2676,LO-002676,SPA-GR,5722,SPA-GR05722,Activo,"Oscar Camps Solaesa",2023-05-23,"2023-11-15 15:05:41",GR5722,37.298681,-3.147811,929.0,,18091A02600470,,,,,,,,Residencial,Urbano,"Propietario único",Privado,,"Polígono 26 Parcela 470 PAULENCA","No Restringido",Existente,,TORRE,,,
LO,2008,LO-002008,SPA-CU,8482,SPA-CU08482,Activo,"Oscar Camps Solaesa",2023-05-23,"2023-10-27 20:20:47",CU8482,40.355802,-2.395851,820.0,,16051A50905178,,,,,,,,Residencial,Urbano,"Propietario único",Privado,Si,"Polígono 509 Parcela 5177
CRUZ DE LAS ERAS. CAÑAVERAS (CUENCA)","No Restringido",Existente,,TORRE,,,
